Date,Open,High,Low,Close,Volume,Currency
2018-08-16,3.7000001611886546e-05,5.199999941396527e-05,3.7000001611886546e-05,4.600000102072954e-05,23376.0,USD
2018-08-17,4.600000102072954e-05,4.70000013592653e-05,3.7999998312443495e-05,4.199999966658652e-05,10411.0,USD
2018-08-18,4.199999966658652e-05,4.5000000682193786e-05,3.7000001611886546e-05,3.9999998989515007e-05,24378.0,USD
2018-08-19,3.7999998312443495e-05,4.3000000005122274e-05,3.7000001611886546e-05,3.9999998989515007e-05,25846.0,USD
2018-08-20,3.9999998989515007e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.7999998312443495e-05,16333.0,USD
2018-08-21,3.7000001611886546e-05,3.899999865097925e-05,3.600000127335079e-05,3.7999998312443495e-05,5262.0,USD
2018-08-22,3.7999998312443495e-05,3.9999998989515007e-05,3.600000127335079e-05,3.600000127335079e-05,17355.0,USD
2018-08-23,3.600000127335079e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7000001611886546e-05,11794.0,USD
2018-08-24,3.7999998312443495e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7000001611886546e-05,4320.0,USD
2018-08-25,3.7000001611886546e-05,3.899999865097925e-05,3.600000127335079e-05,3.7000001611886546e-05,5111.0,USD
2018-08-26,3.7000001611886546e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7000001611886546e-05,2228.0,USD
2018-08-27,3.7999998312443495e-05,3.899999865097925e-05,3.7000001611886546e-05,3.899999865097925e-05,2517.0,USD
2018-08-28,3.899999865097925e-05,4.099999932805076e-05,3.7999998312443495e-05,3.9999998989515007e-05,1698.0,USD
2018-08-29,3.9999998989515007e-05,4.400000034365803e-05,3.9999998989515007e-05,4.199999966658652e-05,1947.0,USD
2018-08-30,4.199999966658652e-05,5.400000009103678e-05,4.099999932805076e-05,4.5000000682193786e-05,12020.0,USD
2018-08-31,4.600000102072954e-05,6.900000153109431e-05,4.600000102072954e-05,6.900000153109431e-05,18397.0,USD
2018-09-01,6.900000153109431e-05,7.599999662488699e-05,5.6000000768108293e-05,6.600000051548705e-05,6088.0,USD
2018-09-02,6.399999983841553e-05,6.70000008540228e-05,5.8000001445179805e-05,6.0999998822808266e-05,980.0,USD
2018-09-03,6.0999998822808266e-05,6.299999949987978e-05,5.700000110664405e-05,5.700000110664405e-05,942.0,USD
2018-09-04,5.700000110664405e-05,6.600000051548705e-05,5.700000110664405e-05,5.900000178371556e-05,785.0,USD
2018-09-05,5.8000001445179805e-05,6.600000051548705e-05,5.700000110664405e-05,5.700000110664405e-05,3340.0,USD
2018-09-06,5.700000110664405e-05,5.8000001445179805e-05,4.8999998398358e-05,5.500000042957254e-05,4248.0,USD
2018-09-07,5.500000042957254e-05,5.700000110664405e-05,4.999999873689376e-05,5.500000042957254e-05,1664.0,USD
2018-09-08,5.500000042957254e-05,5.999999848427251e-05,4.8999998398358e-05,5.199999941396527e-05,1864.0,USD
2018-09-09,5.199999941396527e-05,6.399999983841553e-05,5.199999941396527e-05,5.8000001445179805e-05,2075.0,USD
2018-09-10,5.8000001445179805e-05,6.299999949987978e-05,5.700000110664405e-05,5.900000178371556e-05,8474.0,USD
2018-09-11,5.900000178371556e-05,5.999999848427251e-05,5.400000009103678e-05,5.700000110664405e-05,3643.0,USD
2018-09-12,5.700000110664405e-05,6.299999949987978e-05,5.400000009103678e-05,6.299999949987978e-05,9280.0,USD
2018-09-13,6.299999949987978e-05,8.099999831756577e-05,6.0999998822808266e-05,8.099999831756577e-05,14034.0,USD
2018-09-14,8.099999831756577e-05,8.900000102585182e-05,6.70000008540228e-05,7.100000220816582e-05,8906.0,USD
2018-09-15,7.100000220816582e-05,7.599999662488699e-05,6.600000051548705e-05,7.300000288523734e-05,4849.0,USD
2018-09-16,7.300000288523734e-05,7.899999764049426e-05,6.900000153109431e-05,7.79999973019585e-05,8424.0,USD
2018-09-17,7.79999973019585e-05,8.900000102585182e-05,7.400000322377309e-05,7.699999696342275e-05,3257.0,USD
2018-09-18,7.79999973019585e-05,8.199999865610152e-05,7.599999662488699e-05,7.999999797903001e-05,8091.0,USD
2018-09-19,7.999999797903001e-05,8.70000003487803e-05,7.500000356230885e-05,7.999999797903001e-05,5448.0,USD
2018-09-20,7.999999797903001e-05,8.199999865610152e-05,7.500000356230885e-05,8.099999831756577e-05,20513.0,USD
2018-09-21,8.099999831756577e-05,8.299999899463728e-05,7.100000220816582e-05,7.100000220816582e-05,7236.0,USD
2018-09-22,7.200000254670158e-05,7.500000356230885e-05,6.199999916134402e-05,6.199999916134402e-05,1580.0,USD
2018-09-23,6.299999949987978e-05,6.600000051548705e-05,6.199999916134402e-05,6.500000017695129e-05,3552.0,USD
2018-09-24,6.500000017695129e-05,7.100000220816582e-05,4.8999998398358e-05,5.900000178371556e-05,1520.0,USD
2018-09-25,5.900000178371556e-05,5.900000178371556e-05,4.5000000682193786e-05,4.8999998398358e-05,1688.0,USD
2018-09-26,4.8999998398358e-05,5.2999999752501026e-05,4.70000013592653e-05,4.8000001697801054e-05,904.0,USD
2018-09-27,4.8000001697801054e-05,4.999999873689376e-05,4.600000102072954e-05,4.70000013592653e-05,997.0,USD
2018-09-28,4.70000013592653e-05,6.500000017695129e-05,4.70000013592653e-05,5.8000001445179805e-05,974.0,USD
2018-09-29,5.8000001445179805e-05,5.8000001445179805e-05,4.3000000005122274e-05,4.400000034365803e-05,790.0,USD
2018-09-30,4.400000034365803e-05,4.999999873689376e-05,4.199999966658652e-05,4.199999966658652e-05,1428.0,USD
2018-10-01,4.199999966658652e-05,4.3000000005122274e-05,4.099999932805076e-05,4.3000000005122274e-05,580.0,USD
2018-10-02,4.3000000005122274e-05,5.400000009103678e-05,3.899999865097925e-05,4.3000000005122274e-05,991.0,USD
2018-10-03,4.3000000005122274e-05,4.3000000005122274e-05,3.7000001611886546e-05,3.9999998989515007e-05,560.0,USD
2018-10-04,3.9999998989515007e-05,4.3000000005122274e-05,3.7999998312443495e-05,3.899999865097925e-05,2506.0,USD
2018-10-05,3.899999865097925e-05,4.199999966658652e-05,3.7999998312443495e-05,3.899999865097925e-05,1052.0,USD
2018-10-06,3.899999865097925e-05,3.899999865097925e-05,3.199999991920777e-05,3.899999865097925e-05,740.0,USD
2018-10-07,3.899999865097925e-05,3.899999865097925e-05,3.600000127335079e-05,3.7000001611886546e-05,278.0,USD
2018-10-08,3.7000001611886546e-05,3.9999998989515007e-05,3.600000127335079e-05,3.7000001611886546e-05,662.0,USD
2018-10-09,3.7000001611886546e-05,3.9999998989515007e-05,3.600000127335079e-05,3.600000127335079e-05,546.0,USD
2018-10-10,3.7000001611886546e-05,3.7999998312443495e-05,3.5000000934815034e-05,3.600000127335079e-05,1838.0,USD
2018-10-11,3.600000127335079e-05,3.600000127335079e-05,2.9000000722589903e-05,2.9000000722589903e-05,481.0,USD
2018-10-12,3.099999958067201e-05,3.300000025774352e-05,2.700000004551839e-05,2.9000000722589903e-05,602.0,USD
2018-10-13,2.9000000722589903e-05,3.600000127335079e-05,2.8000000384054147e-05,3.199999991920777e-05,2376.0,USD
2018-10-14,3.199999991920777e-05,3.300000025774352e-05,2.9000000722589903e-05,2.9000000722589903e-05,150.0,USD
2018-10-15,2.9000000722589903e-05,3.300000025774352e-05,2.4000000848900527e-05,2.700000004551839e-05,922.0,USD
