Date,Open,High,Low,Close,Volume,Currency
2020-12-25,3.12,3.12,2.9,2.95,870245,USD
2020-12-26,2.95,2.95,2.87,2.92,476023,USD
2020-12-27,2.92,3.03,2.9,2.9,566733,USD
2020-12-28,2.9,3.02,2.89,2.96,932708,USD
2020-12-29,2.96,2.96,2.87,2.92,831346,USD
2020-12-30,2.92,2.92,2.86,2.92,443752,USD
2020-12-31,2.92,3.17,2.82,3.17,859070,USD
2021-01-01,3.17,3.69,3.06,3.65,3817230,USD
2021-01-02,3.67,3.75,3.41,3.5,1769191,USD
2021-01-03,3.5,3.75,3.47,3.47,989320,USD
2021-01-04,3.48,3.83,3.29,3.6,1241851,USD
2021-01-05,3.61,4.32,3.57,4.25,2403714,USD
2021-01-06,4.25,4.88,4.25,4.57,2925132,USD
2021-01-07,4.6,4.78,4.47,4.47,1471765,USD
2021-01-08,4.48,5.79,4.32,5.79,3025755,USD
2021-01-09,5.71,7.21,5.71,7.19,4069594,USD
2021-01-10,7.3,7.32,6.24,6.55,1865249,USD
2021-01-11,6.5,6.63,5.88,6.47,2066233,USD
2021-01-12,6.44,7.83,6.44,7.74,3137519,USD
2021-01-13,7.71,8.45,7.28,8.45,1712292,USD
2021-01-14,8.49,9.37,8.27,9.37,2548765,USD
2021-01-15,9.34,9.64,9.14,9.39,1992767,USD
2021-01-16,9.38,12.91,9.28,12.82,3898393,USD
2021-01-17,12.77,13.97,12.72,13.16,3566502,USD
2021-01-18,13.07,13.73,12.7,12.7,1317425,USD
2021-01-19,12.71,13.32,11.77,11.77,1845182,USD
2021-01-20,11.73,12.58,11.33,12.38,1515434,USD
2021-01-21,12.42,12.57,11.25,11.31,1717039,USD
2021-01-22,11.3,13.07,11.3,12.73,2250563,USD
2021-01-23,12.77,13.21,12.77,12.88,1223911,USD
2021-01-24,12.87,13.15,12.42,12.47,907136,USD
2021-01-25,12.49,12.86,12.15,12.15,613588,USD
2021-01-26,12.18,12.44,11.64,12.21,873797,USD
2021-01-27,12.21,12.21,11.17,11.17,740306,USD
2021-01-28,11.13,12.44,11.13,11.94,1091785,USD
2021-01-29,11.95,12.06,11.52,11.62,1470334,USD
2021-01-30,11.62,12.14,11.59,12.01,1122475,USD
2021-01-31,12.03,14.32,12.03,13.47,5017946,USD
2021-02-01,13.41,13.41,12.7,13.23,1821057,USD
2021-02-02,13.21,13.48,12.94,13.48,748708,USD
2021-02-03,13.5,14.84,13.35,14.84,1267421,USD
2021-02-04,14.85,15.74,14.7,15.29,1649680,USD
2021-02-05,15.29,17.91,15.29,17.91,1654436,USD
2021-02-06,17.97,18.1,16.58,18.1,1547645,USD
2021-02-07,18.08,23.75,18.08,23.75,4881936,USD
2021-02-08,23.77,32.74,23.77,30.12,5775517,USD
2021-02-09,30.16,31.69,28.46,31.54,2663227,USD
2021-02-10,31.9,56.92,31.9,54.98,9715264,USD
2021-02-11,55.18,56.02,45.46,47.07,4302504,USD
2021-02-12,47.27,51.05,44.91,48.3,3210210,USD
2021-02-13,48.67,50.49,44.15,44.15,1890889,USD
2021-02-14,44.24,44.24,38.91,39.13,2829526,USD
2021-02-15,39.35,43.06,35.31,38.2,3933296,USD
2021-02-16,38.41,38.54,35.78,36.49,2556543,USD
2021-02-17,36.54,39.15,34.57,37.36,3076987,USD
2021-02-18,37.33,43.28,36.97,40.96,3098129,USD
2021-02-19,41.05,41.05,38.43,38.76,2048002,USD
2021-02-20,38.89,41.6,35.82,35.82,3398423,USD
2021-02-21,35.91,37.54,35.53,36.16,1518734,USD
2021-02-22,36.24,36.24,30.9,32.22,2969870,USD
2021-02-23,32.22,32.22,25.12,27.54,3658145,USD
2021-02-24,27.59,31.3,26.94,29.86,3233836,USD
2021-02-25,29.71,30.44,26.58,26.58,2430744,USD
2021-02-26,26.74,27.48,25.2,25.94,1804027,USD
2021-02-27,26.11,26.98,25.76,25.76,1690962,USD
2021-02-28,25.63,25.84,22.78,23.94,1817135,USD
2021-03-01,24.07,27.45,24.07,27.45,2249727,USD
2021-03-02,27.51,29.67,26.16,27.08,5224266,USD
2021-03-03,27.12,28.52,26.95,27.24,2841161,USD
2021-03-04,26.88,28.16,25.2,25.78,3088503,USD
2021-03-05,25.67,25.67,23.79,24.35,2365916,USD
2021-03-06,24.3,25.12,24.14,24.9,1483864,USD
2021-03-07,24.98,27.86,24.98,26.74,3009822,USD
2021-03-08,26.75,26.96,25.51,25.6,2185267,USD
2021-03-09,25.7,34.35,23.88,34.35,10505951,USD
2021-03-10,34.34,35.0,29.6,29.6,8436245,USD
2021-03-11,29.68,32.62,29.33,30.79,5277085,USD
2021-03-12,30.9,30.9,27.64,27.98,4023782,USD
2021-03-13,28.0,32.66,27.76,30.86,4643618,USD
2021-03-14,30.97,31.32,29.04,29.04,2899077,USD
2021-03-15,28.84,29.68,28.01,28.92,3228817,USD
2021-03-16,28.89,33.05,28.36,33.05,3917983,USD
2021-03-17,33.0,33.0,31.05,32.68,3713164,USD
2021-03-18,32.85,34.65,32.4,33.19,3784365,USD
2021-03-19,33.22,37.76,33.22,37.37,4561369,USD
2021-03-20,37.4,38.39,34.2,34.2,2544788,USD
2021-03-21,34.1,35.43,32.36,32.81,2820002,USD
2021-03-22,32.83,33.08,29.18,29.18,2819093,USD
2021-03-23,29.33,30.75,28.48,28.48,2208383,USD
2021-03-24,28.44,30.11,25.9,25.9,2924651,USD
2021-03-25,25.82,27.25,25.25,25.81,2616876,USD
2021-03-26,25.86,28.34,25.86,28.27,2119658,USD
2021-03-27,28.31,28.31,27.09,27.63,1664558,USD
2021-03-28,27.8,29.13,27.31,28.7,2149079,USD
2021-03-29,28.76,30.1,28.67,29.55,1934864,USD
2021-03-30,29.54,30.24,29.18,29.61,1918278,USD
2021-03-31,29.63,29.79,27.52,28.74,1990961,USD
2021-04-01,28.76,29.08,28.19,28.34,1554926,USD
