Date,Open,High,Low,Close,Volume,Currency
2017-08-03,399.0,435.0,302.1,327.4,187932,USD
2017-08-04,327.4,354.0,220.5,220.61,355744,USD
2017-08-05,220.61,277.45,194.66,210.0,330684,USD
2017-08-06,210.0,222.99,190.1,217.75,292112,USD
2017-08-07,217.75,370.0,215.0,320.0,934696,USD
2017-08-08,320.0,387.2,307.5,342.23,588836,USD
2017-08-09,342.23,348.0,287.0,301.0,285676,USD
2017-08-10,301.0,312.0,265.0,273.11,254200,USD
2017-08-11,273.11,351.47,270.01,325.54,331836,USD
2017-08-12,325.54,345.25,308.0,315.09,116076,USD
2017-08-13,315.09,318.99,292.14,296.26,128368,USD
2017-08-14,296.26,331.0,290.45,299.3,147900,USD
2017-08-15,299.3,307.35,290.0,297.01,88224,USD
2017-08-16,297.01,311.0,282.0,299.99,87788,USD
2017-08-17,299.99,451.62,291.1,444.0,417332,USD
2017-08-18,444.0,774.98,437.1,686.28,1528904,USD
2017-08-19,686.28,972.0,602.02,746.58,1149716,USD
2017-08-20,746.58,851.79,677.0,716.4,569660,USD
2017-08-21,716.4,749.9,558.16,606.04,531560,USD
2017-08-22,606.04,736.0,565.89,686.12,465908,USD
2017-08-23,686.12,711.77,651.0,674.0,141908,USD
2017-08-24,674.0,704.37,601.0,618.8,175608,USD
2017-08-25,618.8,664.0,614.39,632.2,115764,USD
2017-08-26,632.2,638.99,611.1,622.0,72564,USD
2017-08-27,622.0,653.04,581.23,615.0,148568,USD
2017-08-28,615.0,628.28,574.25,590.7,68924,USD
2017-08-29,590.7,597.51,523.06,544.12,187756,USD
2017-08-30,544.12,618.0,528.97,579.61,203256,USD
2017-08-31,579.61,609.93,567.0,593.32,102616,USD
2017-09-01,593.32,656.99,586.0,628.01,147256,USD
2017-09-02,628.01,646.53,561.6,572.0,139452,USD
2017-09-03,572.0,623.31,555.24,610.71,100024,USD
2017-09-04,610.71,612.43,497.14,518.98,176364,USD
2017-09-05,518.98,559.98,470.1,545.0,154412,USD
2017-09-06,545.0,657.7,532.08,644.51,211904,USD
2017-09-07,644.51,719.0,599.35,665.94,225708,USD
2017-09-08,665.94,698.25,571.31,604.0,218664,USD
2017-09-09,604.0,610.47,565.53,586.99,77300,USD
2017-09-10,586.99,587.24,523.3,557.8,98512,USD
2017-09-11,557.8,589.0,550.0,555.0,56976,USD
2017-09-12,555.0,578.43,528.8,538.98,63248,USD
2017-09-13,538.98,538.98,470.5,505.96,148492,USD
2017-09-14,505.96,517.42,385.5,386.77,234952,USD
2017-09-15,386.77,455.28,300.01,429.77,539900,USD
2017-09-16,429.77,470.77,409.71,443.29,181600,USD
2017-09-17,443.29,451.0,407.06,438.34,72784,USD
2017-09-18,438.34,494.7,438.34,487.65,148204,USD
2017-09-19,487.65,549.0,454.22,531.49,195668,USD
2017-09-20,531.49,531.49,472.7,477.9,211696,USD
2017-09-21,477.9,484.9,412.0,415.8,140492,USD
2017-09-22,415.8,435.39,392.25,409.5,142252,USD
2017-09-23,409.5,436.42,403.01,429.92,69096,USD
2017-09-24,429.92,435.99,415.0,421.0,81824,USD
2017-09-25,421.0,458.35,420.2,451.3,125272,USD
2017-09-26,451.3,466.21,448.99,450.0,71712,USD
2017-09-27,450.0,470.0,435.96,463.0,169928,USD
2017-09-28,463.0,484.9,439.18,458.0,167892,USD
2017-09-29,458.0,459.96,430.33,441.67,103608,USD
2017-09-30,441.67,455.89,433.4,437.43,139512,USD
2017-10-01,437.43,441.1,416.5,417.8,144268,USD
2017-10-02,417.8,432.45,409.98,420.0,174476,USD
2017-10-03,420.0,421.49,393.02,401.01,88700,USD
2017-10-04,401.01,404.04,350.69,355.85,323820,USD
2017-10-05,355.85,368.3,343.53,354.49,285932,USD
2017-10-06,354.49,374.98,352.42,363.62,125644,USD
2017-10-07,363.62,372.0,354.63,360.0,78376,USD
2017-10-08,360.0,365.0,334.04,343.67,155380,USD
2017-10-09,343.67,343.99,280.1,312.3,326152,USD
2017-10-10,312.3,350.0,300.54,317.29,294336,USD
2017-10-11,317.29,320.82,304.13,313.52,165112,USD
2017-10-12,313.52,331.49,305.26,310.0,240948,USD
2017-10-13,310.0,324.99,286.11,320.57,291380,USD
2017-10-14,320.57,328.3,314.46,322.1,149080,USD
2017-10-15,322.1,323.81,306.17,314.66,68188,USD
2017-10-16,314.66,318.3,309.11,314.24,59996,USD
2017-10-17,314.24,397.7,307.5,368.53,681272,USD
2017-10-18,368.53,374.98,303.44,338.6,332820,USD
2017-10-19,338.6,339.99,323.51,329.53,132036,USD
2017-10-20,329.53,334.0,320.0,325.0,108176,USD
2017-10-21,325.0,334.0,312.0,322.47,62572,USD
2017-10-22,322.47,358.9,317.59,325.13,244676,USD
2017-10-23,325.13,330.35,297.11,312.47,167420,USD
2017-10-24,312.47,339.0,303.02,322.32,197236,USD
2017-10-25,322.32,331.81,314.03,328.93,77940,USD
2017-10-26,328.93,351.0,324.39,335.98,191124,USD
2017-10-27,335.98,373.5,335.47,364.2,351320,USD
2017-10-28,364.2,421.15,363.79,416.99,497580,USD
2017-10-29,416.99,522.95,400.01,452.21,1290488,USD
2017-10-30,452.21,484.0,415.0,444.11,532968,USD
2017-10-31,444.11,459.26,425.5,435.21,226376,USD
2017-11-01,435.21,548.6,434.17,532.0,702304,USD
2017-11-02,532.0,594.5,490.0,573.0,924776,USD
2017-11-03,573.0,688.33,558.1,626.37,1001436,USD
2017-11-04,626.37,645.0,563.11,614.0,666704,USD
2017-11-05,614.0,637.8,570.0,626.2,424056,USD
2017-11-06,626.2,658.56,586.02,587.86,479760,USD
2017-11-07,587.86,617.65,583.63,603.58,216512,USD
2017-11-08,603.58,644.93,521.21,618.89,643656,USD
2017-11-09,618.89,677.0,611.42,650.0,427936,USD
2017-11-10,650.0,1030.1,648.1,993.89,1838780,USD
2017-11-11,993.89,1414.9,890.0,1322.1,621920,USD
2017-11-12,1322.1,2799.0,1180.0,1372.2,642304,USD
2017-11-13,1372.2,1540.0,1011.0,1352.1,495264,USD
2017-11-14,1352.1,1379.0,1176.6,1252.3,290476,USD
2017-11-15,1252.3,1320.0,1160.4,1186.3,249156,USD
2017-11-16,1186.3,1195.7,871.0,907.41,401704,USD
2017-11-17,907.41,1203.3,855.71,1172.0,395020,USD
2017-11-18,1179.2,1373.0,1176.7,1248.0,299832,USD
2017-11-19,1248.0,1263.9,1125.2,1174.6,177452,USD
2017-11-20,1174.6,1256.0,1164.4,1248.8,140088,USD
2017-11-21,1248.8,1249.4,1140.1,1171.3,150544,USD
2017-11-22,1171.3,1349.5,1160.0,1299.4,202624,USD
2017-11-23,1299.4,1671.0,1290.7,1663.4,365544,USD
2017-11-24,1663.4,1777.0,1530.0,1619.0,326416,USD
2017-11-25,1619.0,1637.0,1515.0,1549.4,228696,USD
2017-11-26,1549.4,1549.4,1547.9,1547.9,24,USD
2017-11-27,1547.9,1725.6,1541.0,1585.2,223716,USD
2017-11-28,1585.2,1598.6,1460.9,1480.0,212180,USD
2017-11-29,1480.0,1632.5,1101.0,1332.4,283388,USD
2017-11-30,1332.4,1415.7,1152.2,1312.7,246288,USD
