Date,Open,High,Low,Close,Volume,Currency
2018-02-02,0.51,0.52,0.37,0.49,21738,USD
2018-02-03,0.49,0.54,0.47,0.51,12694,USD
2018-02-04,0.51,0.52,0.42,0.44,19417,USD
2018-02-05,0.44,0.46,0.32,0.4,17417,USD
2018-02-06,0.4,0.45,0.28,0.42,42925,USD
2018-02-07,0.42,0.46,0.36,0.38,16000,USD
2018-02-08,0.38,0.43,0.38,0.42,2663,USD
2018-02-09,0.42,0.46,0.39,0.44,22350,USD
2018-02-10,0.44,0.47,0.4,0.41,36729,USD
2018-02-11,0.41,0.43,0.38,0.42,9048,USD
2018-02-12,0.42,0.53,0.4,0.49,16754,USD
2018-02-13,0.49,0.62,0.45,0.57,27109,USD
2018-02-14,0.57,0.58,0.52,0.57,14682,USD
2018-02-15,0.57,0.58,0.53,0.56,15249,USD
2018-02-16,0.56,0.68,0.56,0.67,10576,USD
2018-02-17,0.67,0.69,0.59,0.68,15929,USD
2018-02-18,0.68,0.8,0.58,0.7,18887,USD
2018-02-19,0.7,0.87,0.69,0.78,61632,USD
2018-02-20,0.78,0.82,0.73,0.75,21027,USD
2018-02-21,0.75,0.75,0.62,0.62,6590,USD
2018-02-22,0.62,0.7,0.56,0.62,3891,USD
2018-02-23,0.62,0.68,0.58,0.67,2079,USD
2018-02-24,0.67,0.72,0.59,0.65,14511,USD
2018-02-25,0.65,0.69,0.6,0.68,18019,USD
2018-02-26,0.68,0.71,0.61,0.69,16689,USD
2018-02-27,0.69,0.78,0.66,0.72,6131,USD
2018-02-28,0.72,0.77,0.66,0.66,10240,USD
2018-03-01,0.66,0.68,0.65,0.68,9267,USD
2018-03-02,0.68,0.71,0.62,0.65,3580,USD
2018-03-03,0.65,0.67,0.62,0.65,10752,USD
2018-03-04,0.65,0.66,0.59,0.59,9711,USD
2018-03-05,0.59,0.63,0.57,0.57,10056,USD
2018-03-06,0.57,0.6,0.54,0.57,12688,USD
2018-03-07,0.57,0.6,0.44,0.52,26493,USD
2018-03-08,0.52,0.53,0.47,0.53,8182,USD
2018-03-09,0.53,0.53,0.44,0.45,3682,USD
2018-03-10,0.45,0.52,0.45,0.47,6631,USD
2018-03-11,0.47,0.51,0.45,0.51,8379,USD
2018-03-12,0.51,0.55,0.49,0.49,26238,USD
2018-03-13,0.49,0.56,0.49,0.56,6596,USD
2018-03-14,0.56,0.57,0.43,0.45,10025,USD
2018-03-15,0.45,0.45,0.4,0.42,5897,USD
2018-03-16,0.42,0.44,0.4,0.42,8547,USD
2018-03-17,0.42,0.42,0.38,0.41,2263,USD
2018-03-18,0.41,0.41,0.28,0.39,16028,USD
2018-03-19,0.39,0.39,0.34,0.37,4985,USD
2018-03-20,0.37,0.39,0.36,0.39,5964,USD
2018-03-21,0.39,0.44,0.35,0.44,4651,USD
2018-03-22,0.44,0.5,0.38,0.43,26747,USD
2018-03-23,0.43,0.44,0.38,0.4,11234,USD
2018-03-24,0.4,0.43,0.39,0.42,5583,USD
2018-03-25,0.42,0.42,0.38,0.41,11427,USD
2018-03-26,0.41,0.41,0.35,0.37,32469,USD
2018-03-27,0.37,0.37,0.35,0.35,6467,USD
2018-03-28,0.35,0.38,0.33,0.35,10096,USD
2018-03-29,0.35,0.36,0.29,0.29,17216,USD
2018-03-30,0.29,0.31,0.28,0.28,16144,USD
2018-03-31,0.28,0.31,0.27,0.29,4501,USD
2018-04-01,0.29,0.3,0.26,0.28,12972,USD
2018-04-02,0.28,0.3,0.25,0.28,10151,USD
2018-04-03,0.28,0.29,0.28,0.29,15736,USD
2018-04-04,0.29,0.29,0.28,0.28,13725,USD
2018-04-05,0.28,0.3,0.28,0.29,19816,USD
2018-04-06,0.29,0.29,0.27,0.27,25465,USD
2018-04-07,0.27,0.3,0.27,0.29,14811,USD
2018-04-08,0.29,0.34,0.29,0.32,13195,USD
2018-04-09,0.32,0.35,0.3,0.31,13480,USD
2018-04-10,0.31,0.36,0.3,0.36,18964,USD
2018-04-11,0.36,0.38,0.35,0.36,25139,USD
2018-04-12,0.36,0.4,0.32,0.4,33971,USD
2018-04-13,0.4,0.42,0.36,0.38,36763,USD
2018-04-14,0.38,0.42,0.37,0.4,14086,USD
2018-04-15,0.4,0.42,0.39,0.41,15292,USD
2018-04-16,0.42,0.42,0.4,0.4,11995,USD
2018-04-17,0.4,0.44,0.4,0.42,24943,USD
2018-04-18,0.42,0.44,0.42,0.44,12425,USD
2018-04-19,0.44,0.5,0.44,0.5,17089,USD
2018-04-20,0.5,0.52,0.37,0.49,48563,USD
2018-04-21,0.49,0.5,0.44,0.49,31633,USD
2018-04-22,0.49,0.51,0.46,0.49,23378,USD
2018-04-23,0.49,0.51,0.48,0.49,20018,USD
2018-04-24,0.49,0.54,0.49,0.54,30183,USD
2018-04-25,0.54,0.54,0.43,0.46,35505,USD
2018-04-26,0.46,0.52,0.41,0.47,106874,USD
2018-04-27,0.47,0.49,0.45,0.48,22199,USD
2018-04-28,0.48,0.49,0.45,0.48,41255,USD
2018-04-29,0.48,0.53,0.47,0.53,69522,USD
2018-04-30,0.53,0.6,0.49,0.53,81509,USD
2018-05-01,0.53,0.57,0.49,0.56,47933,USD
2018-05-02,0.56,0.58,0.54,0.57,89883,USD
2018-05-03,0.57,0.58,0.54,0.56,76108,USD
2018-05-04,0.56,0.59,0.54,0.57,52756,USD
2018-05-05,0.57,0.62,0.56,0.56,24228,USD
2018-05-06,0.56,0.58,0.5,0.53,32787,USD
2018-05-07,0.53,0.57,0.5,0.53,25638,USD
2018-05-08,0.6,0.6,0.5,0.54,31062,USD
2018-05-09,0.54,0.55,0.52,0.55,4963,USD
2018-05-10,0.55,0.58,0.54,0.54,46041,USD
2018-05-11,0.54,0.55,0.4,0.48,54393,USD
2018-05-12,0.48,0.5,0.44,0.47,17996,USD
2018-05-13,0.47,0.5,0.45,0.5,13746,USD
2018-05-14,0.5,0.52,0.45,0.52,23671,USD
2018-05-15,0.5,0.55,0.47,0.47,20787,USD
2018-05-16,0.51,0.51,0.47,0.48,26075,USD
2018-05-17,0.48,0.48,0.44,0.44,12838,USD
2018-05-18,0.44,0.46,0.43,0.46,20375,USD
2018-05-19,0.46,0.53,0.44,0.46,16909,USD
2018-05-20,0.46,0.47,0.45,0.46,20804,USD
2018-05-21,0.46,0.47,0.42,0.43,30325,USD
2018-05-22,0.43,0.43,0.37,0.37,42427,USD
2018-05-23,0.37,0.38,0.32,0.32,23805,USD
2018-05-24,0.35,0.41,0.32,0.36,7553,USD
