Date,Open,High,Low,Close,Volume,Currency
2019-05-15,4.0217,4.6744,4.0139,4.5473,1519753,USD
2019-05-16,4.5473,4.7858,4.0073,4.2728,1867918,USD
2019-05-17,4.2728,4.7942,3.9808,4.4733,1571106,USD
2019-05-18,4.4733,4.9659,4.3411,4.6999,516111,USD
2019-05-19,4.6999,5.1632,4.6529,4.8683,1076450,USD
2019-05-20,4.8694,4.8694,4.4533,4.6664,952762,USD
2019-05-21,4.6682,4.7991,4.4943,4.7393,735274,USD
2019-05-22,4.7393,4.8087,4.3078,4.3078,972241,USD
2019-05-23,4.3078,4.358,4.1208,4.336,798077,USD
2019-05-24,4.336,4.7616,4.2669,4.4584,1310702,USD
2019-05-25,4.4584,4.5948,4.3049,4.3866,945190,USD
2019-05-26,4.3866,4.5436,4.2685,4.4868,1321982,USD
2019-05-27,4.487,4.6877,4.4778,4.6593,2832664,USD
2019-05-28,4.6594,4.8722,4.4849,4.7828,1144502,USD
2019-05-29,4.7828,4.8625,4.5046,4.6945,794518,USD
2019-05-30,4.6937,6.5758,4.6838,5.8823,1099758,USD
2019-05-31,5.9165,5.9553,5.2238,5.7951,902340,USD
2019-06-01,5.7889,6.3197,5.6271,5.769,1102129,USD
2019-06-02,5.7715,6.405,5.5919,6.3899,715446,USD
2019-06-03,6.3899,7.2342,5.9938,6.5201,973258,USD
2019-06-04,6.5193,6.8442,5.7894,5.9283,873783,USD
2019-06-05,5.9297,6.2576,5.6343,6.1447,497242,USD
2019-06-06,6.1447,6.1447,5.6394,5.9882,385454,USD
2019-06-07,5.9828,6.55,5.8879,6.2931,389435,USD
2019-06-08,6.2931,6.3115,5.9446,6.0912,253618,USD
2019-06-09,6.0912,6.1789,5.6958,5.8402,305884,USD
2019-06-10,5.8343,6.084,5.7408,6.084,308163,USD
2019-06-11,6.0836,6.1348,5.772,5.94,385759,USD
2019-06-12,5.94,6.256,5.8548,6.1152,374903,USD
2019-06-13,6.1152,6.5008,6.0282,6.2687,361629,USD
2019-06-14,6.2683,6.2764,5.8843,6.2377,432372,USD
2019-06-15,6.2377,6.2656,6.1093,6.1625,481441,USD
2019-06-16,6.1647,6.7357,6.1351,6.7156,550997,USD
2019-06-17,6.7156,7.0901,6.46,7.0019,351882,USD
2019-06-18,7.0019,7.0244,6.4767,6.5869,521792,USD
2019-06-19,6.5869,6.8013,6.5542,6.6257,298872,USD
2019-06-20,6.6259,6.6292,6.2993,6.502,359689,USD
2019-06-21,6.502,6.5834,6.3425,6.5207,553550,USD
2019-06-22,6.521,6.8971,6.4594,6.7743,974483,USD
2019-06-23,6.7642,7.1856,6.7202,6.8314,500281,USD
2019-06-24,6.8314,6.8343,6.5542,6.6664,391469,USD
2019-06-25,6.6676,6.7377,6.4799,6.5665,674792,USD
2019-06-26,6.5665,6.8327,6.1588,6.3381,1637351,USD
2019-06-27,6.3357,6.4042,5.3541,5.5461,1996441,USD
2019-06-28,5.5461,5.9655,5.4739,5.9242,1519310,USD
2019-06-29,5.9242,6.1674,5.6457,6.0757,750812,USD
2019-06-30,6.0635,6.1045,5.4284,5.4353,750259,USD
2019-07-01,5.4352,5.7115,5.1576,5.4787,918758,USD
2019-07-02,5.4792,5.6558,5.1295,5.3315,969344,USD
2019-07-03,5.3315,5.6246,5.3062,5.5715,868432,USD
2019-07-04,5.5802,5.7476,5.4692,5.4769,666661,USD
2019-07-05,5.4769,5.4976,5.3368,5.3961,531799,USD
2019-07-06,5.451,5.4837,5.2402,5.2987,878147,USD
2019-07-07,5.2987,5.4146,5.2032,5.386,634658,USD
2019-07-08,5.386,5.4195,5.108,5.1769,722414,USD
2019-07-09,5.1769,5.1865,4.8771,4.9846,845362,USD
2019-07-10,4.9846,4.9899,4.199,4.4845,2189622,USD
2019-07-11,4.4854,4.6446,4.052,4.356,2197106,USD
2019-07-12,4.356,4.6045,4.2692,4.5191,994228,USD
2019-07-13,4.5191,4.5191,4.152,4.2727,1050313,USD
2019-07-14,4.2727,4.2788,3.7937,3.8234,2114132,USD
2019-07-15,3.8247,4.4563,3.5659,4.1535,2419893,USD
2019-07-16,4.1535,4.2235,3.5499,3.6522,2969445,USD
2019-07-17,3.6522,4.0281,3.5686,3.8145,2494633,USD
2019-07-18,3.8145,4.1715,3.6824,4.0845,1846705,USD
2019-07-19,4.0845,4.1623,3.8021,3.9266,1109543,USD
2019-07-20,3.9261,4.1786,3.9172,4.0473,1127305,USD
2019-07-21,4.0473,4.3172,3.9768,4.221,1026375,USD
2019-07-22,4.221,4.3351,3.9015,3.9886,1408475,USD
2019-07-23,3.9886,3.9897,3.6874,3.7178,1090738,USD
2019-07-24,3.7178,4.074,3.6034,3.9006,2389717,USD
2019-07-25,3.9007,4.029,3.7912,3.8013,1237916,USD
2019-07-26,3.8013,3.9108,3.6903,3.887,769544,USD
2019-07-27,3.888,5.1,3.5553,3.6182,1307012,USD
2019-07-28,3.621,3.6725,3.4966,3.6157,1529534,USD
2019-07-29,3.6152,3.6864,3.5297,3.5951,843361,USD
2019-07-30,3.5951,3.6495,3.5086,3.5975,642372,USD
2019-07-31,3.5975,3.7484,3.5767,3.65,1402453,USD
2019-08-01,3.6546,3.6552,3.4574,3.539,558914,USD
2019-08-02,3.539,3.9097,3.5064,3.6485,722817,USD
2019-08-03,3.6485,3.7654,3.6281,3.6882,608411,USD
2019-08-04,3.6882,3.7557,3.5201,3.5967,435840,USD
2019-08-05,3.5967,3.8699,3.5967,3.7738,1043109,USD
2019-08-06,3.7738,3.7799,3.522,3.5652,1068048,USD
2019-08-07,3.5652,3.6885,3.4715,3.4943,1117240,USD
2019-08-08,3.4943,3.5027,3.144,3.2762,1090238,USD
2019-08-09,3.276,3.3162,3.0761,3.1456,1696144,USD
2019-08-10,3.1456,3.3793,3.1388,3.3458,2491288,USD
2019-08-11,3.3458,3.5458,3.29,3.5434,2543443,USD
2019-08-12,3.542,3.6489,3.3331,3.3377,1244006,USD
2019-08-13,3.3374,3.3471,3.1496,3.2564,2309184,USD
2019-08-14,3.2564,3.2959,2.8483,2.8499,3953763,USD
2019-08-15,2.8499,2.9883,2.7038,2.894,2586718,USD
2019-08-16,2.894,3.0138,2.8108,2.8855,752462,USD
2019-08-17,2.8855,2.9089,2.832,2.9089,440236,USD
2019-08-18,2.9089,2.9831,2.8545,2.9719,640942,USD
2019-08-19,2.9719,2.9739,2.7773,2.8938,463191,USD
2019-08-20,2.8946,2.9242,2.7575,2.8679,510621,USD
2019-08-21,2.868,2.87,2.5919,2.6654,828587,USD
2019-08-22,2.6654,2.7421,2.5758,2.7103,675012,USD
2019-08-23,2.7103,2.7632,2.6499,2.714,660198,USD
