Date,Open,High,Low,Close,Volume,Currency
2018-02-02,0.9962,1.2966,0.9905,1.0196,368619,USD
2018-02-03,1.0196,1.0825,0.998,1.0003,152940,USD
2018-02-04,1.0003,1.0289,0.9981,0.9986,71956,USD
2018-02-05,0.9986,1.018,0.984,1.0167,64736,USD
2018-02-06,1.0167,1.213,0.9874,1.0203,325179,USD
2018-02-07,1.0203,1.0439,0.9979,0.9979,225201,USD
2018-02-08,0.9979,1.0194,0.9979,1.0036,47227,USD
2018-02-09,1.0036,1.0184,0.9972,0.9987,54059,USD
2018-02-10,0.9987,1.0156,0.995,1.0137,123322,USD
2018-02-11,1.0137,1.015,0.9135,1.001,36768,USD
2018-02-12,1.001,1.005,1.0,1.005,20673,USD
2018-02-13,1.005,1.0081,0.9961,1.0079,7448,USD
2018-02-14,1.0079,1.0079,0.995,0.995,13709,USD
2018-02-15,0.995,1.003,0.994,1.002,12232,USD
2018-02-16,1.002,1.0046,0.9935,0.994,40509,USD
2018-02-17,0.994,1.0016,0.9921,0.9989,11423,USD
2018-02-18,0.9989,1.0009,0.989,0.991,29987,USD
2018-02-19,0.991,1.0015,0.991,0.9943,1923,USD
2018-02-20,0.9943,1.011,0.9943,1.0011,17689,USD
2018-02-21,1.0011,1.0077,0.9971,1.0,6270,USD
2018-02-22,1.0,1.003,0.993,0.9969,61714,USD
2018-02-23,0.9969,1.0046,0.993,1.0046,3579,USD
2018-02-24,1.0046,1.0046,0.993,0.993,19251,USD
2018-02-25,0.993,0.9999,0.9922,0.9945,290,USD
2018-02-26,0.9945,0.9998,0.9932,0.9932,7167,USD
2018-02-27,0.9932,1.001,0.9932,0.9951,10502,USD
2018-02-28,0.9951,1.0012,0.9935,0.9949,14267,USD
2018-03-01,0.9949,1.0,0.9945,0.9945,6184,USD
2018-03-02,0.9945,0.9998,0.9945,0.9968,3392,USD
2018-03-03,0.9968,1.0001,0.9951,1.0001,4371,USD
2018-03-04,1.0001,1.0001,0.9951,0.9981,2663,USD
2018-03-05,0.9981,1.0016,0.9946,1.0016,11836,USD
2018-03-06,1.0016,1.002,0.9936,0.9936,17412,USD
2018-03-07,0.9936,1.012,0.9936,1.0,25556,USD
2018-03-08,1.0,1.0024,0.9935,0.9967,14855,USD
2018-03-09,0.9967,1.0043,0.9949,0.995,6639,USD
2018-03-10,0.995,1.016,0.9949,1.01,3490,USD
2018-03-11,1.01,1.01,0.9949,0.998,2914,USD
2018-03-12,0.998,1.0156,0.995,1.0028,10542,USD
2018-03-13,1.0028,1.0028,0.9953,0.9963,10946,USD
2018-03-14,0.9963,1.0011,0.9955,0.9956,10483,USD
2018-03-15,0.9956,1.002,0.9934,0.9934,9834,USD
2018-03-16,0.9934,0.9971,0.9934,0.9971,1657,USD
2018-03-17,0.9971,0.9971,0.9944,0.997,4860,USD
2018-03-18,0.997,0.997,0.9939,0.9939,4842,USD
2018-03-19,0.9939,1.0045,0.9921,1.0044,107354,USD
2018-03-20,1.0044,1.0044,0.9921,0.9937,8676,USD
2018-03-21,0.9937,1.0033,0.9928,0.9943,16030,USD
2018-03-22,0.9943,1.0031,0.9942,0.9944,5472,USD
2018-03-23,0.9944,0.9964,0.9944,0.9956,4147,USD
2018-03-24,0.9956,0.9981,0.995,0.9959,4236,USD
2018-03-25,0.9959,1.0015,0.9953,1.0001,7374,USD
2018-03-26,1.0001,1.0017,0.9964,0.9973,3396,USD
2018-03-27,0.9973,0.9979,0.9951,0.9951,3700,USD
2018-03-28,0.9951,0.9985,0.9941,0.9941,1906,USD
2018-03-29,0.9941,1.0043,0.994,0.994,6115,USD
2018-03-30,0.994,1.0043,0.994,0.994,713,USD
2018-03-31,0.994,0.9978,0.994,0.994,1026,USD
2018-04-01,0.994,1.0027,0.994,0.9941,537,USD
2018-04-02,0.9941,1.0042,0.9941,0.9941,380,USD
2018-04-03,0.9941,0.9998,0.9941,0.9942,217,USD
2018-04-04,0.9942,0.9986,0.9942,0.9986,444,USD
2018-04-05,0.9986,0.9986,0.991,0.995,1627,USD
2018-04-06,0.995,1.0,0.995,0.995,5353,USD
2018-04-07,0.995,1.19,0.9919,1.0289,39746,USD
2018-04-08,1.0289,1.0289,1.0116,1.0155,5461,USD
2018-04-09,1.0155,1.0155,0.9183,0.9951,14297,USD
2018-04-10,0.9951,1.0059,0.9317,0.9961,6575,USD
2018-04-11,0.9961,1.0051,0.9919,0.9919,6522,USD
2018-04-12,0.9919,1.0088,0.9644,1.0088,12535,USD
2018-04-13,1.0088,1.0642,0.9978,1.0,53603,USD
2018-04-14,1.0,1.0112,0.9943,0.9943,6553,USD
2018-04-15,0.9943,1.0101,0.994,0.9956,11568,USD
2018-04-16,0.9956,1.0077,0.9955,1.002,14888,USD
2018-04-17,1.002,1.0021,0.9945,0.9945,27188,USD
2018-04-18,0.9945,1.002,0.994,1.0019,7388,USD
2018-04-19,1.0019,1.0269,0.9786,0.99,31989,USD
2018-04-20,0.99,1.0061,0.9818,0.9939,51803,USD
2018-04-21,0.9939,1.9997,0.9813,0.9813,313742,USD
2018-04-22,0.9813,1.062,0.9766,0.9813,217009,USD
2018-04-23,0.9813,1.0149,0.981,0.9989,67334,USD
2018-04-24,0.9989,1.0093,0.9849,1.0,68644,USD
2018-04-25,1.0,1.0004,0.985,0.985,78304,USD
2018-04-26,0.985,0.9895,0.9776,0.9881,49250,USD
2018-04-27,0.9881,1.0004,0.9777,0.9873,52426,USD
2018-04-28,0.9873,0.9999,0.987,0.9999,39383,USD
2018-04-29,0.9999,1.0,0.987,0.9871,42776,USD
2018-04-30,0.9871,0.9988,0.987,0.9922,34820,USD
2018-05-01,0.9871,0.9984,0.9871,0.998,12089,USD
2018-05-02,0.998,1.009,0.998,1.0,47442,USD
2018-05-03,1.0,1.0103,0.998,0.9999,57654,USD
2018-05-04,0.9999,1.0092,0.998,1.001,48482,USD
2018-05-05,1.001,1.0091,0.998,0.998,30647,USD
2018-05-06,0.998,1.0888,0.998,1.0,198103,USD
2018-05-07,1.0,1.04,0.9954,1.0016,117487,USD
2018-05-08,1.0,1.016,0.998,0.998,64119,USD
2018-05-09,0.998,1.003,0.998,0.9988,35970,USD
2018-05-10,0.998,1.0,0.998,0.9982,49102,USD
2018-05-11,0.9982,1.079,0.998,1.0263,191057,USD
2018-05-12,1.0263,1.05,0.998,0.9982,119762,USD
2018-05-13,0.9981,1.0089,0.998,1.0,19881,USD
2018-05-14,0.9981,1.0227,0.998,0.9982,28943,USD
2018-05-15,0.9982,1.0134,0.9982,0.9982,19645,USD
2018-05-16,0.9982,1.0122,0.998,1.005,31737,USD
2018-05-17,0.999,1.01,0.998,0.9981,21590,USD
2018-05-18,0.9981,1.0178,0.9981,1.008,29456,USD
2018-05-19,1.008,1.014,0.9985,1.006,8436,USD
2018-05-20,1.006,1.03,0.9985,0.9991,16459,USD
2018-05-21,0.9991,1.017,0.999,0.9992,28992,USD
2018-05-22,0.9992,1.0123,0.9985,0.999,30925,USD
2018-05-23,0.999,1.0087,0.985,0.985,128517,USD
2018-05-24,0.9878,0.9988,0.9139,0.995,5300,USD
2018-05-25,0.995,0.995,0.9925,0.9925,5524,USD
2018-05-26,0.9989,1.002,0.9925,0.9925,1728,USD
2018-05-27,0.9925,1.002,0.99,1.002,4442,USD
2018-05-28,1.002,1.002,0.95,0.99,36048,USD
2018-05-29,0.99,0.9998,0.9851,0.9864,6926,USD
2018-05-30,0.9864,0.9998,0.9863,0.9945,5964,USD
2018-05-31,0.9945,0.9955,0.9864,0.9955,29576,USD
2018-06-01,0.9955,0.9955,0.9806,0.9942,34146,USD
2018-06-02,0.9807,0.9952,0.9107,0.9952,1666,USD
2018-06-03,0.9952,0.9952,0.934,0.9862,440,USD
2018-06-04,0.9862,0.9908,0.978,0.978,4398,USD
2018-06-05,0.978,0.9923,0.975,0.9923,1407,USD
2018-06-06,0.9921,0.9948,0.975,0.9946,1308,USD
2018-06-07,0.9946,0.9955,0.976,0.9954,3001,USD
2018-06-08,0.9954,0.9955,0.975,0.9752,2862,USD
2018-06-09,0.9925,0.9953,0.9751,0.9953,1256,USD
2018-06-10,0.99,0.9955,0.9751,0.9827,3399,USD
2018-06-11,0.99,0.99,0.9601,0.99,37779,USD
2018-06-12,0.99,0.99,0.975,0.9899,5585,USD
2018-06-13,0.9899,0.9899,0.98,0.9899,13657,USD
2018-06-14,0.9899,0.993,0.98,0.991,16539,USD
2018-06-15,0.991,0.9955,0.99,0.995,27363,USD
2018-06-16,0.995,0.9958,0.9925,0.9925,7328,USD
2018-06-17,0.9958,0.9958,0.9888,0.9888,6162,USD
