Date,Open,High,Low,Close,Volume,Currency
2016-07-28,1.6,2.11,1.36,1.68,890279,USD
2016-07-29,1.68,1.79,1.52,1.64,696558,USD
2016-07-30,1.64,1.7,1.55,1.57,290616,USD
2016-07-31,1.57,1.92,1.41,1.79,777390,USD
2016-08-01,1.79,2.29,1.7,2.29,1407690,USD
2016-08-02,2.29,3.64,2.07,2.6,3310048,USD
2016-08-03,2.6,3.2,2.18,2.56,694253,USD
2016-08-04,2.56,2.77,2.1,2.28,325465,USD
2016-08-05,2.28,2.65,2.28,2.56,206961,USD
2016-08-06,2.56,2.88,2.5,2.67,241592,USD
2016-08-07,2.67,2.76,2.07,2.1,356906,USD
2016-08-08,2.1,2.4,1.95,2.13,315597,USD
2016-08-09,2.13,2.3,1.72,1.93,362850,USD
2016-08-10,1.93,2.06,1.6,1.69,523807,USD
2016-08-11,1.69,1.96,1.56,1.86,509012,USD
2016-08-12,1.86,2.09,1.81,1.82,452748,USD
2016-08-13,1.82,1.92,1.81,1.86,149604,USD
2016-08-14,1.86,1.99,1.86,1.92,287587,USD
2016-08-15,1.92,2.0,1.85,1.86,316592,USD
2016-08-16,1.86,1.89,1.8,1.86,129738,USD
2016-08-17,1.86,1.88,1.71,1.74,250186,USD
2016-08-18,1.74,1.78,1.63,1.69,198680,USD
2016-08-19,1.69,1.8,1.61,1.75,321845,USD
2016-08-20,1.75,1.76,1.69,1.74,109836,USD
2016-08-21,1.74,1.77,1.7,1.71,54628,USD
2016-08-22,1.71,1.74,1.62,1.66,271283,USD
2016-08-23,1.66,1.68,1.57,1.61,380035,USD
2016-08-24,1.61,1.79,1.42,1.47,407435,USD
2016-08-25,1.47,1.47,1.26,1.38,958553,USD
2016-08-26,1.38,1.46,1.32,1.43,599753,USD
2016-08-27,1.43,1.46,1.34,1.36,266985,USD
2016-08-28,1.36,1.36,1.3,1.36,442968,USD
2016-08-29,1.36,1.36,1.24,1.24,535718,USD
2016-08-30,1.24,1.31,1.15,1.24,1204173,USD
2016-08-31,1.24,1.27,1.16,1.19,547994,USD
2016-09-01,1.19,1.49,1.17,1.48,1267114,USD
2016-09-02,1.48,1.48,1.37,1.4,458773,USD
2016-09-03,1.4,1.41,1.32,1.36,148458,USD
2016-09-04,1.36,1.45,1.3,1.44,286354,USD
2016-09-05,1.44,1.55,1.44,1.46,206497,USD
2016-09-06,1.46,1.5,1.44,1.48,221336,USD
2016-09-07,1.48,1.49,1.45,1.48,281174,USD
2016-09-08,1.48,1.54,1.46,1.47,126145,USD
2016-09-09,1.47,1.47,1.38,1.41,216285,USD
2016-09-10,1.41,1.45,1.4,1.42,148242,USD
2016-09-11,1.42,1.43,1.33,1.34,695958,USD
2016-09-12,1.34,1.35,1.31,1.33,207861,USD
2016-09-13,1.33,1.33,1.29,1.29,250440,USD
2016-09-14,1.29,1.32,1.26,1.3,240597,USD
2016-09-15,1.3,1.31,1.27,1.28,153890,USD
2016-09-16,1.28,1.34,1.28,1.33,207228,USD
2016-09-17,1.33,1.33,1.31,1.32,117472,USD
2016-09-18,1.32,1.55,1.32,1.33,319472,USD
2016-09-19,1.33,1.34,1.25,1.28,189601,USD
2016-09-20,1.28,1.28,1.24,1.25,291452,USD
2016-09-21,1.25,1.26,1.21,1.23,428099,USD
2016-09-22,1.23,1.33,1.12,1.26,637815,USD
2016-09-23,1.26,1.29,1.22,1.24,148019,USD
2016-09-24,1.24,1.25,1.23,1.25,114120,USD
2016-09-25,1.25,1.26,1.21,1.21,75184,USD
2016-09-26,1.21,1.22,1.2,1.2,136022,USD
2016-09-27,1.2,1.21,1.16,1.19,126951,USD
2016-09-28,1.19,1.27,1.19,1.24,283859,USD
2016-09-29,1.24,1.28,1.22,1.28,113199,USD
2016-09-30,1.28,1.3,1.24,1.26,97117,USD
2016-10-01,1.26,1.26,1.18,1.18,94907,USD
2016-10-02,1.18,1.22,1.18,1.2,127451,USD
2016-10-03,1.2,1.22,1.17,1.19,111376,USD
2016-10-04,1.19,1.19,1.15,1.15,168242,USD
2016-10-05,1.15,1.24,1.15,1.19,142790,USD
2016-10-06,1.19,1.19,1.16,1.17,33029,USD
2016-10-07,1.17,1.19,1.16,1.16,26290,USD
2016-10-08,1.16,1.19,1.16,1.19,20881,USD
2016-10-09,1.19,1.19,1.17,1.17,15367,USD
2016-10-10,1.17,1.17,1.15,1.16,77989,USD
2016-10-11,1.16,1.17,1.09,1.1,306712,USD
2016-10-12,1.1,1.1,0.9903,1.03,356776,USD
2016-10-13,1.03,1.04,0.9557,1.01,302870,USD
2016-10-14,1.01,1.01,0.9733,0.9895,80869,USD
2016-10-15,0.9895,0.9998,0.9879,0.9915,25019,USD
2016-10-16,0.9915,1.23,0.9812,1.16,196351,USD
2016-10-17,1.16,1.21,1.06,1.08,272462,USD
2016-10-18,1.08,1.08,1.0,1.04,139634,USD
2016-10-19,1.04,1.08,1.03,1.05,84148,USD
2016-10-20,1.05,1.06,1.04,1.04,25979,USD
2016-10-21,1.04,1.05,1.0,1.03,76394,USD
2016-10-22,1.03,1.07,1.02,1.05,68939,USD
2016-10-23,1.05,1.06,1.03,1.05,53973,USD
2016-10-24,1.05,1.06,1.02,1.03,95831,USD
2016-10-25,1.03,1.05,1.01,1.02,89501,USD
2016-10-26,1.02,1.04,1.01,1.03,105546,USD
2016-10-27,1.03,1.04,0.9828,0.9865,265582,USD
2016-10-28,0.9865,1.0,0.9436,0.9464,226242,USD
2016-10-29,0.9464,0.9741,0.8707,0.9,452297,USD
2016-10-30,0.9,0.945,0.87,0.924,354690,USD
2016-10-31,0.924,0.9299,0.83,0.899,118056,USD
2016-11-01,0.899,0.9032,0.8704,0.8873,192420,USD
2016-11-02,0.8873,0.9127,0.8505,0.8505,111069,USD
2016-11-03,0.8505,0.9196,0.8505,0.9,162035,USD
2016-11-04,0.9,1.0,0.8955,0.9804,220415,USD
2016-11-05,0.9804,1.07,0.9591,1.05,179402,USD
2016-11-06,1.05,1.05,0.9767,0.986,108098,USD
2016-11-07,0.986,1.01,0.9301,0.9362,103192,USD
2016-11-08,0.9362,0.9579,0.9252,0.9344,79041,USD
2016-11-09,0.9344,0.9403,0.9084,0.9136,114067,USD
2016-11-10,0.9136,0.9591,0.9,0.9226,72285,USD
2016-11-11,0.9226,0.9397,0.9,0.9119,43720,USD
2016-11-12,0.9119,0.9393,0.9119,0.9199,64897,USD
2016-11-13,0.9199,0.9215,0.9005,0.9049,37392,USD
2016-11-14,0.9049,0.9105,0.89,0.896,23470,USD
2016-11-15,0.896,0.9323,0.885,0.9257,44289,USD
2016-11-16,0.9257,0.9333,0.9003,0.9083,42000,USD
2016-11-17,0.9083,0.9113,0.8867,0.8899,67898,USD
2016-11-18,0.8899,0.8988,0.8703,0.8703,76583,USD
2016-11-19,0.8703,0.8759,0.8553,0.8628,68947,USD
2016-11-20,0.8628,0.8784,0.8528,0.853,48919,USD
2016-11-21,0.853,0.8605,0.8419,0.8419,42688,USD
2016-11-22,0.8419,0.8617,0.8375,0.8375,39218,USD
2016-11-23,0.8375,0.8449,0.8078,0.8114,117522,USD
2016-11-24,0.8114,0.8181,0.7286,0.7719,221656,USD
2016-11-25,0.7719,0.8622,0.7642,0.8333,263126,USD
2016-11-26,0.8333,0.8647,0.78,0.7821,47957,USD
2016-11-27,0.7821,0.8237,0.7703,0.7738,67049,USD
2016-11-28,0.7738,0.785,0.7519,0.7537,45256,USD
2016-11-29,0.7537,0.78,0.71,0.7435,136978,USD
2016-11-30,0.7435,0.7546,0.7139,0.7447,57960,USD
2016-12-01,0.7447,0.7891,0.7427,0.7664,71111,USD
2016-12-02,0.7664,0.8121,0.7333,0.7982,154547,USD
2016-12-03,0.7982,0.8037,0.7652,0.7689,60091,USD
2016-12-04,0.7689,0.7859,0.7368,0.7577,92893,USD
2016-12-05,0.7577,0.82,0.7495,0.82,173416,USD
2016-12-06,0.82,0.85,0.7378,0.7742,226179,USD
2016-12-07,0.7742,0.838,0.7567,0.8276,152981,USD
2016-12-08,0.8276,0.89,0.777,0.8177,210474,USD
2016-12-09,0.8177,0.8404,0.7998,0.814,91238,USD
2016-12-10,0.814,0.87,0.807,0.8428,81001,USD
2016-12-11,0.8428,0.9572,0.8428,0.9328,188617,USD
2016-12-12,0.9328,0.9564,0.8911,0.9119,86980,USD
2016-12-13,0.9119,1.0,0.9011,0.9775,337945,USD
2016-12-14,0.9775,0.999,0.9606,0.9885,223269,USD
2016-12-15,0.9885,1.1,0.9742,1.08,411211,USD
2016-12-16,1.08,1.09,1.01,1.07,154518,USD
2016-12-17,1.07,1.07,0.9749,0.9978,255104,USD
