Date,Open,High,Low,Close,Volume,Currency
2019-12-20,2.0441,2.2001,2.0441,2.1538,1166930,USD
2019-12-21,2.1542,2.1561,2.1361,2.1471,318894,USD
2019-12-22,2.1468,2.2763,2.1368,2.2763,1096769,USD
2019-12-23,2.2763,2.3004,2.171,2.1909,498532,USD
2019-12-24,2.1909,2.1989,2.1379,2.1605,158819,USD
2019-12-25,2.16,2.1656,2.1383,2.1398,149991,USD
2019-12-26,2.1398,2.194,2.1388,2.1397,211668,USD
2019-12-27,2.1397,2.1689,2.1394,2.1503,263893,USD
2019-12-28,2.1503,2.1881,2.1502,2.1793,172586,USD
2019-12-29,2.18,2.2433,2.17,2.2099,180375,USD
2019-12-30,2.2098,2.21,2.1501,2.1596,214914,USD
2019-12-31,2.1596,2.1862,2.1412,2.1458,168424,USD
2020-01-01,2.1458,2.1639,2.1421,2.1429,94236,USD
2020-01-02,2.1431,2.1525,2.1412,2.1423,383100,USD
2020-01-03,2.1417,2.2309,2.1408,2.2039,541106,USD
2020-01-04,2.2065,2.2073,2.1554,2.1681,348371,USD
2020-01-05,2.1685,2.2005,2.13,2.138,529423,USD
2020-01-06,2.1386,2.1908,2.1335,2.1847,555767,USD
2020-01-07,2.1848,2.2397,2.1333,2.1619,1773934,USD
2020-01-08,2.1593,2.2055,2.1343,2.1742,1778394,USD
2020-01-09,2.1742,2.1769,2.1352,2.1594,1059355,USD
2020-01-10,2.1595,2.2399,2.1327,2.2295,1578050,USD
2020-01-11,2.2321,2.2321,2.1341,2.1465,538056,USD
2020-01-12,2.1465,2.1986,2.1363,2.1811,292466,USD
2020-01-13,2.1819,2.1862,2.1397,2.1498,298422,USD
2020-01-14,2.1499,2.22,2.1461,2.1762,1396777,USD
2020-01-15,2.1676,2.3659,2.153,2.3656,1656938,USD
2020-01-16,2.3656,2.3998,2.2886,2.3981,643807,USD
2020-01-17,2.3985,2.4783,2.3717,2.3855,578065,USD
2020-01-18,2.3856,2.4094,2.3336,2.3769,285226,USD
2020-01-19,2.3769,2.4362,2.242,2.2838,732556,USD
2020-01-20,2.2856,2.2917,2.2039,2.2668,456023,USD
2020-01-21,2.2649,2.3519,2.2624,2.3464,300953,USD
2020-01-22,2.3464,2.3599,2.2897,2.3222,369120,USD
2020-01-23,2.3235,2.3239,2.1791,2.2339,492679,USD
2020-01-24,2.2339,2.2861,2.1906,2.2632,426300,USD
2020-01-25,2.2631,2.2631,2.2073,2.2145,181348,USD
2020-01-26,2.2124,2.2876,2.201,2.2868,355089,USD
2020-01-27,2.2868,2.4012,2.2868,2.3722,515498,USD
2020-01-28,2.3724,2.4441,2.3416,2.4417,448584,USD
2020-01-29,2.4417,2.4489,2.3444,2.3495,911934,USD
2020-01-30,2.349,2.4228,2.3183,2.4052,888256,USD
2020-01-31,2.4077,2.4087,2.3237,2.3683,1083702,USD
2020-02-01,2.3678,2.3898,2.3275,2.3483,541921,USD
2020-02-02,2.3476,2.3696,2.3,2.3184,494353,USD
2020-02-03,2.3181,2.3779,2.2639,2.3011,678313,USD
2020-02-04,2.3011,2.3178,2.2101,2.2469,531569,USD
2020-02-05,2.2457,2.385,2.2372,2.3424,415346,USD
2020-02-06,2.3419,2.42,2.3214,2.4077,982334,USD
2020-02-07,2.4077,2.4496,2.3583,2.3823,611552,USD
2020-02-08,2.3825,2.407,2.3409,2.3834,316418,USD
2020-02-09,2.3822,2.4291,2.3738,2.406,119080,USD
2020-02-10,2.4064,2.5413,2.3267,2.4918,680440,USD
2020-02-11,2.4909,2.5653,2.4201,2.5576,224492,USD
2020-02-12,2.5544,2.6122,2.5308,2.5729,137666,USD
2020-02-13,2.5729,2.6088,2.4812,2.5228,454764,USD
2020-02-14,2.5234,2.5777,2.4904,2.5653,47113,USD
2020-02-15,2.5653,2.5775,2.4659,2.5211,405463,USD
2020-02-16,2.5218,2.965,2.5112,2.9588,1222063,USD
2020-02-17,2.9586,2.9586,2.513,2.7317,1129302,USD
2020-02-18,2.7317,2.8659,2.6875,2.8451,195191,USD
2020-02-19,2.8403,2.8509,2.6391,2.6628,140897,USD
2020-02-20,2.6578,2.6698,2.5751,2.6222,148947,USD
2020-02-21,2.6227,2.718,2.6162,2.6893,74328,USD
2020-02-22,2.6893,2.6893,2.6484,2.673,69680,USD
2020-02-23,2.673,2.7597,2.67,2.7537,61464,USD
2020-02-24,2.7516,2.7676,2.5382,2.6314,59969,USD
2020-02-25,2.6326,2.6349,2.4438,2.46,96138,USD
2020-02-26,2.46,2.481,2.1719,2.2842,282882,USD
2020-02-27,2.2824,2.4695,2.2193,2.4464,81983,USD
2020-02-28,2.4507,2.6414,2.4431,2.6186,229224,USD
2020-02-29,2.6192,2.6846,2.5767,2.5779,257789,USD
2020-03-01,2.5743,2.6527,2.5246,2.5577,79474,USD
2020-03-02,2.5563,2.7053,2.5467,2.6872,86667,USD
2020-03-03,2.688,2.7117,2.611,2.6427,39575,USD
2020-03-04,2.6427,2.6896,2.6097,2.6408,34078,USD
2020-03-05,2.6408,2.7831,2.6408,2.7246,88607,USD
2020-03-06,2.7237,2.8083,2.7099,2.7989,43636,USD
2020-03-07,2.798,2.8042,2.6557,2.6828,26001,USD
2020-03-08,2.6814,2.6814,2.4163,2.4276,201326,USD
2020-03-09,2.4279,2.4323,2.3743,2.4088,353663,USD
2020-03-10,2.4085,2.4945,2.3935,2.4463,108690,USD
2020-03-11,2.4463,2.4796,2.2611,2.3974,84155,USD
2020-03-12,2.4002,2.4071,1.9762,2.076,1870721,USD
2020-03-13,2.046,2.3304,1.8937,2.0516,1488071,USD
2020-03-14,2.055,2.0756,1.9843,2.03,407104,USD
2020-03-15,2.03,2.2755,2.0072,2.0899,359637,USD
2020-03-16,2.0892,2.0892,1.9954,2.0147,653208,USD
2020-03-17,2.026,2.1495,1.9996,2.1071,260982,USD
2020-03-18,2.1002,2.1371,2.0211,2.1157,122511,USD
2020-03-19,2.1211,2.5079,2.0867,2.4248,228795,USD
2020-03-20,2.4248,2.7,2.1507,2.3866,368889,USD
2020-03-21,2.3802,2.4648,2.2523,2.3816,215074,USD
2020-03-22,2.3815,2.4723,2.2096,2.2299,162227,USD
2020-03-23,2.229,2.4984,2.1834,2.4439,153229,USD
2020-03-24,2.449,2.5782,2.4118,2.4872,65432,USD
2020-03-25,2.487,2.555,2.3927,2.4621,98811,USD
2020-03-26,2.4621,2.5295,2.4228,2.514,37849,USD
2020-03-27,2.5124,2.5225,2.3273,2.3488,162811,USD
2020-03-28,2.3488,2.3488,2.223,2.3112,127126,USD
2020-03-29,2.3114,2.3188,2.1802,2.1845,72730,USD
2020-03-30,2.1845,2.4539,2.1835,2.3922,99603,USD
2020-03-31,2.3928,2.4465,2.3872,2.3985,58257,USD
2020-04-01,2.4004,2.4536,2.2922,2.4381,65567,USD
2020-04-02,2.4381,2.6263,2.4216,2.4855,112309,USD
2020-04-03,2.4826,2.5718,2.4256,2.4827,65160,USD
2020-04-04,2.4827,2.5747,2.4535,2.5385,49437,USD
2020-04-05,2.5385,2.5552,2.4757,2.5104,20998,USD
2020-04-06,2.5104,2.7825,2.5104,2.7818,40262,USD
2020-04-07,2.7818,2.8252,2.619,2.6707,39293,USD
2020-04-08,2.6705,2.7722,2.6539,2.7428,27674,USD
2020-04-09,2.7443,2.7489,2.6575,2.7158,32854,USD
2020-04-10,2.7163,2.7197,2.4734,2.5231,48632,USD
2020-04-11,2.5191,2.5627,2.4845,2.5351,23757,USD
2020-04-12,2.5333,2.6578,2.4945,2.5516,47358,USD
2020-04-13,2.5407,2.5843,2.4352,2.5752,88847,USD
2020-04-14,2.5752,2.6758,2.5589,2.6154,40935,USD
2020-04-15,2.6154,2.6493,2.4935,2.5007,35076,USD
2020-04-16,2.4997,2.7354,2.4392,2.7146,48107,USD
2020-04-17,2.7145,2.7398,2.6598,2.6938,34333,USD
2020-04-18,2.6931,2.8187,2.6931,2.8,37811,USD
2020-04-19,2.8,2.8019,2.7012,2.7348,36068,USD
2020-04-20,2.7367,2.7899,2.5548,2.5826,56786,USD
2020-04-21,2.5826,2.6347,2.5574,2.58,82050,USD
2020-04-22,2.5807,2.7254,2.5678,2.7103,41319,USD
2020-04-23,2.7125,2.86,2.6663,2.7814,80272,USD
2020-04-24,2.782,2.8287,2.7606,2.7891,44100,USD
2020-04-25,2.7891,2.8769,2.769,2.8275,53765,USD
2020-04-26,2.8275,2.8789,2.8061,2.8542,32659,USD
2020-04-27,2.8545,2.886,2.8,2.884,42245,USD
2020-04-28,2.884,2.8983,2.8449,2.879,44134,USD
2020-04-29,2.8754,3.1938,2.8728,3.1357,159907,USD
2020-04-30,3.1357,3.349,3.0168,3.087,92951,USD
2020-05-01,3.087,3.2322,3.0857,3.1727,35071,USD
2020-05-02,3.1731,3.2125,3.149,3.2003,25654,USD
2020-05-03,3.2016,3.2643,3.0913,3.1529,39143,USD
2020-05-04,3.1538,3.167,2.9964,3.1298,32726,USD
2020-05-05,3.1298,3.1969,3.09,3.1666,26290,USD
2020-05-06,3.1644,3.2472,3.007,3.0195,128476,USD
2020-05-07,3.0195,3.2002,2.9855,3.173,128955,USD
2020-05-08,3.1764,3.2014,3.0952,3.1043,104759,USD
2020-05-09,3.1043,3.1345,3.0134,3.0146,92305,USD
2020-05-10,3.0107,3.017,2.6936,2.7496,117247,USD
2020-05-11,2.7436,2.84,2.5812,2.7255,54167,USD
2020-05-12,2.7201,2.8585,2.7182,2.8086,21593,USD
2020-05-13,2.8086,2.9383,2.7967,2.9107,17259,USD
2020-05-14,2.9107,3.0534,2.8905,2.9991,52282,USD
2020-05-15,2.9991,3.0095,2.8554,2.8774,40394,USD
2020-05-16,2.8774,2.9701,2.8565,2.9212,15997,USD
2020-05-17,2.9212,3.0448,2.9072,2.9892,27632,USD
2020-05-18,2.9877,3.0807,2.9787,3.0323,28832,USD
2020-05-19,3.0323,3.0726,2.9536,3.0511,109549,USD
2020-05-20,3.0523,3.0581,2.911,2.9385,23816,USD
2020-05-21,2.9361,2.9593,2.7301,2.7958,28874,USD
2020-05-22,2.7997,2.8846,2.7718,2.8637,12507,USD
2020-05-23,2.8651,2.9114,2.8248,2.8463,25145,USD
2020-05-24,2.8463,2.8957,2.7258,2.7258,14564,USD
2020-05-25,2.707,2.803,2.6859,2.7853,12847,USD
2020-05-26,2.7853,2.8245,2.7651,2.8116,29454,USD
2020-05-27,2.8118,2.873,2.8064,2.8629,15050,USD
2020-05-28,2.8629,2.9751,2.8292,2.9617,26348,USD
2020-05-29,2.9638,2.9883,2.8989,2.9287,28516,USD
2020-05-30,2.9287,3.0731,2.9062,3.0515,22824,USD
2020-05-31,3.0515,3.0668,2.9237,2.9448,13843,USD
2020-06-01,2.9423,3.1558,2.9305,3.1184,42487,USD
2020-06-02,3.1167,3.1359,2.8471,2.9392,78135,USD
2020-06-03,2.9392,2.9965,2.8939,2.9883,12296,USD
2020-06-04,2.9883,3.0167,2.9157,2.9974,14405,USD
2020-06-05,2.9974,3.0286,2.9603,2.9659,39731,USD
2020-06-06,2.9598,2.9975,2.9383,2.9766,23950,USD
2020-06-07,2.9765,2.9841,2.8788,2.9779,11603,USD
2020-06-08,2.9779,3.004,2.9467,2.9941,12023,USD
2020-06-09,2.9966,3.0217,2.9329,2.9985,13543,USD
2020-06-10,2.9985,3.0306,2.9602,2.9761,15073,USD
2020-06-11,2.9761,3.002,2.7554,2.8058,28023,USD
2020-06-12,2.8058,2.8883,2.7933,2.8696,6715,USD
2020-06-13,2.8686,2.8944,2.8442,2.887,7426,USD
2020-06-14,2.8914,2.8939,2.8162,2.8396,22894,USD
2020-06-15,2.8396,3.045,2.7691,3.0198,57510,USD
2020-06-16,3.0198,3.0594,2.97,2.9997,45900,USD
2020-06-17,2.9997,3.0346,2.9239,3.0319,15078,USD
2020-06-18,3.0319,3.0439,2.9703,3.0071,13705,USD
2020-06-19,3.0071,3.0152,2.9528,2.9745,16255,USD
2020-06-20,2.9745,2.9909,2.9392,2.9753,13759,USD
2020-06-21,2.9753,2.9968,2.9593,2.9624,9113,USD
2020-06-22,2.9629,3.0721,2.9597,3.0618,21406,USD
2020-06-23,3.0616,3.0723,3.0267,3.0379,10330,USD
2020-06-24,3.0379,3.0637,2.9165,2.9395,25226,USD
2020-06-25,2.943,2.9543,2.8609,2.9307,16327,USD
2020-06-26,2.9297,2.9498,2.8787,2.9079,21187,USD
2020-06-27,2.9098,2.9273,2.7821,2.8289,14311,USD
2020-06-28,2.8274,2.8905,2.8015,2.8705,10041,USD
2020-06-29,2.8705,2.9177,2.8379,2.8973,14430,USD
2020-06-30,2.8973,2.9035,2.8534,2.8858,22522,USD
2020-07-01,2.8839,2.9438,2.8688,2.9286,29461,USD
2020-07-02,2.9284,2.944,2.8401,2.8686,45430,USD
2020-07-03,2.8686,2.8855,2.8536,2.8536,17688,USD
2020-07-04,2.8536,2.8985,2.8536,2.8791,15365,USD
2020-07-05,2.8791,2.8903,2.8428,2.8647,29603,USD
2020-07-06,2.8647,2.9943,2.8647,2.9943,33968,USD
2020-07-07,2.9943,3.0086,2.9523,2.9824,29978,USD
2020-07-08,2.9824,3.0699,2.9824,3.0669,25668,USD
2020-07-09,3.0669,3.0669,2.995,3.0149,34978,USD
2020-07-10,3.0149,3.0398,2.9622,3.0398,20090,USD
2020-07-11,3.0398,3.0508,3.0256,3.0508,15543,USD
2020-07-12,3.0508,3.1116,3.0508,3.1116,48838,USD
2020-07-13,3.115,3.1399,3.0698,3.108,48786,USD
2020-07-14,3.108,3.1102,3.0887,3.103,45348,USD
2020-07-15,3.103,3.103,3.0517,3.0535,34754,USD
2020-07-16,3.0535,3.0561,2.957,2.9774,42587,USD
2020-07-17,2.9774,2.9774,2.9419,2.9419,7290,USD
2020-07-18,2.9419,2.9419,2.9239,2.9269,55417,USD
2020-07-19,2.9262,2.9362,2.9021,2.9215,7317,USD
2020-07-20,2.9215,2.9326,2.887,2.887,5408,USD
2020-07-21,2.887,2.9858,2.887,2.9858,63507,USD
2020-07-22,2.9821,3.0038,2.9334,3.0008,18611,USD
2020-07-23,2.9971,3.0061,2.9656,3.0032,35012,USD
2020-07-24,3.0032,3.0226,2.9573,2.9829,14572,USD
2020-07-25,2.9829,3.0388,2.9745,3.035,16142,USD
2020-07-26,3.0379,3.1141,3.0372,3.1141,56931,USD
2020-07-27,3.1141,3.4579,3.1141,3.4254,287510,USD
2020-07-28,3.4269,3.4938,3.3074,3.3252,79510,USD
2020-07-29,3.3246,3.3816,3.3142,3.3275,50964,USD
2020-07-30,3.3288,3.3493,3.2679,3.3229,25687,USD
2020-07-31,3.3227,3.4207,3.3097,3.4148,39143,USD
2020-08-01,3.4166,3.4962,3.4166,3.4962,72454,USD
2020-08-02,3.4954,3.4965,3.3218,3.3472,151684,USD
2020-08-03,3.3472,3.5522,3.3472,3.5377,49204,USD
2020-08-04,3.5404,3.6153,3.4486,3.4748,93208,USD
2020-08-05,3.4748,3.605,3.4504,3.605,63996,USD
2020-08-06,3.6054,3.6054,3.5305,3.5305,39006,USD
2020-08-07,3.531,3.572,3.3937,3.4276,64816,USD
2020-08-08,3.4276,3.4953,3.4134,3.4953,17708,USD
2020-08-09,3.4983,3.4983,3.4438,3.4517,15265,USD
2020-08-10,3.4496,3.5192,3.4429,3.5065,53036,USD
2020-08-11,3.5066,3.5135,3.3027,3.3129,48900,USD
2020-08-12,3.3115,3.366,3.2547,3.3587,33053,USD
2020-08-13,3.3587,3.4517,3.2715,3.4517,49119,USD
2020-08-14,3.4517,3.5271,3.4217,3.5082,51769,USD
2020-08-15,3.5101,3.5291,3.4485,3.4485,92268,USD
2020-08-16,3.4494,3.4515,3.3841,3.4515,35140,USD
2020-08-17,3.4515,3.5786,3.4191,3.524,64045,USD
2020-08-18,3.524,3.5715,3.4951,3.5031,53378,USD
2020-08-19,3.5038,3.5038,3.3317,3.3348,44140,USD
2020-08-20,3.3389,3.4504,3.3389,3.4491,19684,USD
2020-08-21,3.4475,3.4475,3.2708,3.274,100679,USD
2020-08-22,3.2764,3.3447,3.2581,3.3447,20367,USD
2020-08-23,3.3447,3.3917,3.2875,3.3698,63711,USD
2020-08-24,3.3698,3.4707,3.3579,3.4707,40796,USD
2020-08-25,3.4708,3.4795,3.3548,3.4621,152350,USD
2020-08-26,3.4621,3.6468,3.4621,3.6222,167169,USD
2020-08-27,3.6198,3.6283,3.5064,3.5747,64264,USD
2020-08-28,3.5835,3.8083,3.5835,3.8083,221142,USD
2020-08-29,3.8064,3.9975,3.7899,3.9651,236908,USD
2020-08-30,3.9591,4.2058,3.9591,4.2058,128179,USD
2020-08-31,4.2058,4.2058,4.1393,4.2039,87077,USD
2020-09-01,4.2126,4.4851,4.1795,4.4635,172045,USD
2020-09-02,4.473,4.4839,4.1004,4.2261,72767,USD
2020-09-03,4.2261,4.285,3.6182,3.6182,56079,USD
2020-09-04,3.6179,3.8294,3.6179,3.6601,37622,USD
2020-09-05,3.6601,3.6736,3.1961,3.3221,109857,USD
2020-09-06,3.3236,3.6469,3.2614,3.6469,110403,USD
2020-09-07,3.6516,3.6901,3.3999,3.67,80298,USD
2020-09-08,3.6775,3.6775,3.5127,3.5912,71601,USD
2020-09-09,3.5912,3.7473,3.5452,3.7274,50756,USD
2020-09-10,3.729,3.8836,3.729,3.7936,35517,USD
2020-09-11,3.7933,3.8352,3.696,3.8352,43103,USD
2020-09-12,3.8316,4.0035,3.8316,4.0035,25830,USD
2020-09-13,3.9943,4.1278,3.8911,3.968,67756,USD
2020-09-14,3.968,4.0976,3.9418,4.0797,44276,USD
2020-09-15,4.0797,4.0797,3.8191,3.8191,206832,USD
2020-09-16,3.8198,3.859,3.7602,3.824,32901,USD
2020-09-17,3.821,3.8689,3.7578,3.8513,44592,USD
2020-09-18,3.8484,3.9073,3.815,3.8481,18956,USD
2020-09-19,3.85,3.8514,3.7906,3.8458,14184,USD
2020-09-20,3.8458,3.8458,3.7287,3.7499,18209,USD
2020-09-21,3.7463,3.7569,3.55,3.5835,38490,USD
2020-09-22,3.5787,3.6371,3.5787,3.6122,18129,USD
2020-09-23,3.6108,3.6108,3.4366,3.4366,26266,USD
2020-09-24,3.4373,3.6463,3.4373,3.6463,55181,USD
2020-09-25,3.6502,3.6609,3.5986,3.6313,88739,USD
2020-09-26,3.6287,3.6435,3.6263,3.6435,55360,USD
2020-09-27,3.6413,3.6821,3.5944,3.6178,30328,USD
2020-09-28,3.62,3.6817,3.5987,3.5987,27570,USD
2020-09-29,3.6002,3.675,3.6002,3.675,19586,USD
2020-09-30,3.6745,3.6745,3.6093,3.6516,22960,USD
2020-10-01,3.6556,3.6556,3.3784,3.6155,28566,USD
2020-10-02,3.6069,3.6307,3.4621,3.5319,21934,USD
2020-10-03,3.5328,3.5619,3.5321,3.5442,17468,USD
2020-10-04,3.5446,3.5737,3.5385,3.5483,16215,USD
2020-10-05,3.55,3.5624,3.517,3.5397,15964,USD
2020-10-06,3.5407,3.5491,3.407,3.4131,17813,USD
2020-10-07,3.4131,3.4131,3.3872,3.4131,18221,USD
2020-10-08,3.4131,3.4716,3.3547,3.4716,27894,USD
2020-10-09,3.4717,3.5513,3.465,3.5492,22566,USD
2020-10-10,3.5477,3.636,3.5091,3.5119,19708,USD
2020-10-11,3.513,3.5414,3.4981,3.531,20252,USD
2020-10-12,3.5316,3.6426,3.5316,3.6426,21387,USD
2020-10-13,3.6435,3.6543,3.6324,3.6543,27131,USD
2020-10-14,3.6528,3.6743,3.622,3.6465,20800,USD
2020-10-15,3.6493,3.6498,3.6109,3.6416,19674,USD
2020-10-16,3.6421,3.6594,3.5293,3.532,18499,USD
2020-10-17,3.5312,3.5573,3.5312,3.5558,15217,USD
2020-10-18,3.5558,3.6055,3.5558,3.6055,14955,USD
2020-10-19,3.6055,3.6152,3.5582,3.6152,13471,USD
2020-10-20,3.6142,3.627,3.5698,3.5698,70853,USD
2020-10-21,3.5712,3.7611,3.5712,3.7526,53711,USD
2020-10-22,3.753,3.921,3.753,3.8889,43920,USD
2020-10-23,3.8887,3.8953,3.8583,3.8867,14054,USD
2020-10-24,3.8867,3.9437,3.8841,3.9437,16163,USD
2020-10-25,3.9429,3.9461,3.8666,3.8836,22887,USD
2020-10-26,3.884,3.919,3.8752,3.919,26894,USD
2020-10-27,3.9186,4.0341,3.9186,4.0211,25416,USD
2020-10-28,4.0216,4.0281,3.703,3.7614,25624,USD
2020-10-29,3.7603,4.1349,3.7603,3.8535,99872,USD
2020-10-30,3.8542,3.8542,3.6665,3.7251,50375,USD
2020-10-31,3.7242,3.7854,3.706,3.706,24159,USD
2020-11-01,3.7046,3.707,3.6211,3.6385,23535,USD
2020-11-02,3.6396,3.6516,3.4908,3.4908,37632,USD
2020-11-03,3.4825,3.4825,3.4321,3.4616,32167,USD
2020-11-04,3.4604,3.4604,3.3396,3.3823,21087,USD
2020-11-05,3.3806,3.5118,3.3806,3.5118,29139,USD
2020-11-06,3.5106,3.6337,3.4963,3.6324,84913,USD
2020-11-07,3.632,3.632,3.4211,3.4211,44108,USD
