Date,Open,High,Low,Close,Volume,Currency
2016-08-24,3.95,3.96,3.61,3.84,21857,USD
2016-08-25,3.84,3.88,3.75,3.81,21870,USD
2016-08-26,3.81,3.9,3.77,3.81,14349,USD
2016-08-27,3.81,3.85,3.62,3.78,4906,USD
2016-08-28,3.78,3.78,3.62,3.72,8192,USD
2016-08-29,3.72,3.84,3.7,3.77,3672,USD
2016-08-30,3.77,3.85,3.74,3.81,1582,USD
2016-08-31,3.81,3.85,3.74,3.74,1634,USD
2016-09-01,3.74,3.9,3.26,3.66,15471,USD
2016-09-02,3.66,4.35,3.65,3.84,11821,USD
2016-09-03,3.84,3.99,3.8,3.88,7478,USD
2016-09-04,3.88,4.08,3.85,4.02,4924,USD
2016-09-05,4.02,4.07,3.94,3.96,1935,USD
2016-09-06,3.96,3.98,3.91,3.95,2769,USD
2016-09-07,3.95,4.03,3.91,3.96,2159,USD
2016-09-08,3.96,4.03,3.95,4.01,353,USD
2016-09-09,4.01,4.02,3.94,3.96,1703,USD
2016-09-10,3.96,4.0,3.95,3.96,82,USD
2016-09-11,3.96,4.04,3.86,3.9,5005,USD
2016-09-12,3.9,3.96,3.77,3.88,3608,USD
2016-09-13,3.88,3.88,3.8,3.81,1445,USD
2016-09-14,3.81,3.85,3.8,3.85,211,USD
2016-09-15,3.85,3.95,3.81,3.81,2619,USD
2016-09-16,3.81,3.89,3.8,3.81,1406,USD
2016-09-17,3.81,3.88,3.81,3.82,912,USD
2016-09-18,3.82,3.87,3.81,3.87,5452,USD
2016-09-19,3.87,3.93,3.8,3.86,1896,USD
2016-09-20,3.86,4.0,3.76,4.0,11163,USD
2016-09-21,4.0,6.72,3.61,3.82,9972,USD
2016-09-22,3.76,5.05,3.76,3.79,10630,USD
2016-09-23,3.79,4.2,3.77,3.83,3087,USD
2016-09-24,3.83,4.06,3.83,3.87,1208,USD
2016-09-25,3.87,3.87,3.8,3.8,1049,USD
2016-09-26,3.8,4.0,3.79,3.92,3535,USD
2016-09-27,3.92,3.92,3.79,3.83,4210,USD
2016-09-28,3.83,3.9,3.79,3.81,1389,USD
2016-09-29,3.81,3.88,3.81,3.86,439,USD
2016-09-30,3.86,3.87,3.8,3.81,4678,USD
2016-10-01,3.81,3.86,3.81,3.85,1656,USD
2016-10-02,3.85,3.86,3.82,3.83,409,USD
2016-10-03,3.83,3.94,3.83,3.83,3388,USD
2016-10-04,3.83,3.9,3.81,3.85,9817,USD
2016-10-05,3.85,3.91,3.79,3.88,4820,USD
2016-10-06,3.88,3.88,3.78,3.82,9512,USD
2016-10-07,3.82,3.87,3.8,3.82,903,USD
2016-10-08,3.82,3.88,3.8,3.86,1935,USD
2016-10-09,3.86,3.86,3.8,3.8,267,USD
2016-10-10,3.84,3.84,3.79,3.79,2176,USD
2016-10-11,3.79,3.84,3.75,3.83,2709,USD
2016-10-12,3.83,3.83,3.79,3.8,2877,USD
2016-10-13,3.8,3.93,3.8,3.83,10010,USD
2016-10-14,3.83,3.92,3.82,3.82,176,USD
2016-10-15,3.82,3.94,3.82,3.92,391,USD
2016-10-16,3.92,3.94,3.86,3.88,86,USD
2016-10-17,3.88,3.94,3.82,3.82,1097,USD
2016-10-18,3.82,3.91,3.8,3.91,3062,USD
2016-10-19,3.91,3.91,3.79,3.79,4945,USD
2016-10-20,3.79,3.81,3.78,3.8,1118,USD
2016-10-21,3.8,3.81,3.75,3.79,2387,USD
2016-10-22,3.79,3.88,3.75,3.84,4554,USD
2016-10-23,3.84,3.89,3.7,3.88,5440,USD
2016-10-24,3.88,3.89,3.82,3.87,1935,USD
2016-10-25,3.87,3.88,3.8,3.85,5319,USD
2016-10-26,3.85,3.96,3.76,3.89,10505,USD
2016-10-27,3.89,4.14,3.89,3.99,5379,USD
2016-10-28,3.99,4.02,3.88,3.9,3165,USD
2016-10-29,3.9,4.24,3.9,4.06,5603,USD
2016-10-30,4.06,4.25,3.93,3.93,3307,USD
2016-10-31,3.93,4.07,3.92,3.98,1157,USD
2016-11-01,3.98,4.5,3.92,4.02,11580,USD
2016-11-02,4.02,4.35,3.99,4.07,5857,USD
2016-11-03,4.07,4.34,3.8,3.9,22549,USD
2016-11-04,3.9,3.98,3.77,3.88,10896,USD
2016-11-05,3.88,3.94,3.86,3.87,1161,USD
2016-11-06,3.87,3.93,3.85,3.91,241,USD
2016-11-07,3.91,3.92,3.83,3.88,2279,USD
2016-11-08,3.88,3.91,3.84,3.91,2034,USD
2016-11-09,3.91,3.99,3.77,3.98,8910,USD
2016-11-10,3.98,3.98,3.79,3.8,1281,USD
2016-11-11,3.8,3.86,3.79,3.8,675,USD
2016-11-12,3.8,3.85,3.72,3.75,9761,USD
2016-11-13,3.75,3.94,3.65,3.86,14409,USD
2016-11-14,3.86,3.91,3.81,3.87,710,USD
2016-11-15,3.87,3.96,3.84,3.92,4395,USD
2016-11-16,3.92,4.06,3.86,3.92,10595,USD
2016-11-17,3.92,3.96,3.81,3.9,10389,USD
2016-11-18,3.9,3.95,3.85,3.87,1699,USD
2016-11-19,3.87,3.99,3.85,3.92,1101,USD
2016-11-20,3.92,3.99,3.86,3.89,705,USD
2016-11-21,3.89,3.93,3.87,3.93,563,USD
2016-11-22,3.93,3.99,3.88,3.9,3698,USD
2016-11-23,3.9,3.97,3.86,3.86,1492,USD
2016-11-24,3.86,3.93,3.86,3.9,821,USD
2016-11-25,3.9,3.91,3.85,3.87,675,USD
2016-11-26,3.87,3.91,3.81,3.86,5483,USD
2016-11-27,3.86,3.89,3.82,3.87,464,USD
2016-11-28,3.87,3.92,3.81,3.84,4377,USD
2016-11-29,3.84,3.91,3.81,3.83,3109,USD
2016-11-30,3.83,3.98,3.51,3.84,7891,USD
2016-12-01,3.84,3.89,3.84,3.88,705,USD
2016-12-02,3.88,3.94,3.87,3.94,1793,USD
2016-12-03,3.94,3.94,3.87,3.9,434,USD
2016-12-04,3.9,3.92,3.86,3.89,675,USD
2016-12-05,3.89,3.89,3.32,3.58,21255,USD
2016-12-06,3.58,3.58,3.42,3.5,426,USD
2016-12-07,3.51,3.86,3.5,3.67,4623,USD
2016-12-08,3.67,3.77,3.63,3.65,7989,USD
2016-12-09,3.65,3.74,3.61,3.74,1122,USD
2016-12-10,3.74,3.74,3.63,3.7,267,USD
2016-12-11,3.7,3.7,3.61,3.64,181,USD
2016-12-12,3.64,3.69,3.62,3.64,1101,USD
2016-12-13,3.64,3.68,3.62,3.65,56,USD
2016-12-14,3.65,3.66,3.6,3.6,1195,USD
2016-12-15,3.6,3.7,3.5,3.5,1350,USD
2016-12-16,3.64,3.68,3.56,3.64,770,USD
2016-12-17,3.64,3.72,3.6,3.72,753,USD
2016-12-18,3.72,3.73,3.62,3.62,1290,USD
2016-12-19,3.69,3.71,3.61,3.66,297,USD
2016-12-20,3.66,3.69,3.61,3.62,499,USD
2016-12-21,3.62,3.91,3.62,3.66,4700,USD
2016-12-22,3.66,3.88,3.62,3.69,12590,USD
2016-12-23,3.69,4.49,3.65,4.49,24656,USD
2016-12-24,4.49,5.14,4.2,4.47,25525,USD
2016-12-25,4.47,4.49,4.08,4.3,10316,USD
2016-12-26,4.3,4.37,4.13,4.23,2025,USD
2016-12-27,4.23,4.52,4.18,4.33,4975,USD
2016-12-28,4.33,4.6,4.3,4.53,8381,USD
2016-12-29,4.53,5.0,4.4,4.69,5865,USD
