Date,Open,High,Low,Close,Volume,Currency
2015-01-30,0.311,0.35,0.303,0.303,1334,USD
2015-01-31,0.303,0.303,0.29,0.29,476,USD
2015-02-01,0.29,0.29,0.29,0.29,0,USD
2015-02-02,0.29,0.303,0.287,0.303,348,USD
2015-02-03,0.303,0.36,0.302,0.331,1473,USD
2015-02-04,0.331,0.331,0.275,0.292,2123,USD
2015-02-05,0.292,0.368,0.273,0.275,2430,USD
2015-02-06,0.275,0.277,0.274,0.275,690,USD
2015-02-07,0.275,0.275,0.275,0.275,0,USD
2015-02-08,0.275,0.275,0.275,0.275,0,USD
2015-02-09,0.275,0.275,0.275,0.275,0,USD
2015-02-10,0.275,0.275,0.275,0.275,0,USD
2015-02-11,0.275,0.275,0.275,0.275,0,USD
2015-02-12,0.275,0.275,0.275,0.275,0,USD
2015-02-13,0.275,0.275,0.275,0.275,0,USD
2015-02-14,0.275,0.275,0.275,0.275,0,USD
2015-02-15,0.275,0.275,0.275,0.275,0,USD
2015-02-16,0.275,0.275,0.275,0.275,0,USD
2015-02-17,0.52,0.52,0.01,0.099,70,USD
2015-02-18,0.099,0.099,0.099,0.099,0,USD
2015-02-19,0.099,0.35,0.089,0.26,992,USD
2015-02-20,0.26,0.26,0.25,0.25,644,USD
2015-02-21,0.25,0.25,0.25,0.25,0,USD
2015-02-22,0.25,0.32,0.25,0.295,226,USD
2015-02-23,0.295,0.35,0.295,0.35,876,USD
2015-02-24,0.35,0.38,0.25,0.25,58,USD
2015-02-25,0.25,0.25,0.25,0.25,0,USD
2015-02-26,0.25,0.38,0.25,0.25,0,USD
2015-02-27,0.25,0.25,0.25,0.25,0,USD
2015-02-28,0.25,0.55,0.25,0.35,232,USD
2015-03-01,0.35,0.35,0.35,0.35,0,USD
2015-03-02,0.35,0.54,0.35,0.54,6,USD
2015-03-03,0.54,0.54,0.35,0.497,0,USD
2015-03-04,0.497,0.497,0.497,0.497,0,USD
2015-03-05,0.497,0.497,0.26,0.26,0,USD
2015-03-06,0.26,0.497,0.26,0.497,6,USD
2015-03-07,0.497,0.497,0.497,0.497,0,USD
2015-03-08,0.497,0.497,0.26,0.497,0,USD
2015-03-09,0.497,0.54,0.25,0.25,46,USD
2015-03-10,0.25,0.54,0.25,0.54,0,USD
2015-03-11,0.54,0.84,0.261,0.261,128,USD
2015-03-12,0.261,0.261,0.261,0.261,0,USD
2015-03-13,0.261,0.81,0.261,0.8,23,USD
2015-03-14,0.8,0.8,0.6,0.8,128,USD
2015-03-15,0.8,0.8,0.6,0.8,0,USD
2015-03-16,0.8,0.8,0.4,0.4,81,USD
2015-03-17,0.4,0.4,0.4,0.4,0,USD
2015-03-18,0.4,0.4,0.4,0.4,0,USD
2015-03-19,0.4,0.4,0.4,0.4,0,USD
2015-03-20,0.4,0.4,0.4,0.4,0,USD
2015-03-21,0.4,1.0,0.4,1.0,0,USD
2015-03-22,1.0,1.0,0.261,0.261,17,USD
2015-03-23,0.261,0.261,0.261,0.261,0,USD
2015-03-24,0.261,0.878,0.261,0.278,0,USD
2015-03-25,0.278,0.878,0.278,0.878,12,USD
2015-03-26,0.878,0.878,0.278,0.278,0,USD
2015-03-27,0.278,0.878,0.278,0.278,0,USD
2015-03-28,0.278,0.878,0.278,0.878,0,USD
2015-03-29,0.878,0.878,0.278,0.278,0,USD
2015-03-30,0.278,0.878,0.278,0.85,23,USD
2015-03-31,0.85,3.0,0.31,0.31,0,USD
2015-04-01,0.31,0.33,0.31,0.33,0,USD
2015-04-02,0.33,0.33,0.33,0.33,0,USD
2015-04-03,0.33,0.33,0.33,0.33,0,USD
2015-04-04,0.33,0.4,0.33,0.4,0,USD
2015-04-05,0.4,1.0,0.33,0.34,174,USD
2015-04-06,0.34,0.34,0.34,0.34,0,USD
2015-04-07,0.34,0.34,0.34,0.34,0,USD
2015-04-08,0.34,0.34,0.34,0.34,0,USD
2015-04-09,0.35,1.0,0.35,1.0,0,USD
2015-04-10,1.0,1.0,0.35,0.795,122,USD
2015-04-11,0.8,0.95,0.78,0.78,75,USD
2015-04-12,0.78,0.94,0.78,0.92,0,USD
2015-04-13,0.92,0.92,0.75,0.75,539,USD
2015-04-14,0.75,0.75,0.5,0.5,331,USD
2015-04-15,0.5,0.65,0.34,0.65,35,USD
2015-04-16,0.65,0.72,0.65,0.72,0,USD
2015-04-17,0.72,0.72,0.65,0.72,75,USD
2015-04-18,0.72,0.72,0.34,0.34,0,USD
2015-04-19,0.34,0.34,0.34,0.34,0,USD
2015-04-20,0.34,0.34,0.34,0.34,0,USD
2015-04-21,0.34,0.72,0.34,0.34,0,USD
2015-04-22,0.34,0.75,0.34,0.7,52,USD
2015-04-23,0.7,0.75,0.34,0.719,70,USD
2015-04-24,0.719,0.719,0.34,0.34,6,USD
2015-04-25,0.34,0.34,0.34,0.34,0,USD
2015-04-26,0.34,0.34,0.34,0.34,0,USD
2015-04-27,0.34,0.59,0.34,0.59,6,USD
2015-04-28,0.59,0.59,0.59,0.59,0,USD
2015-04-29,0.59,0.59,0.34,0.34,0,USD
2015-04-30,0.34,0.34,0.34,0.34,0,USD
2015-05-01,0.34,0.59,0.34,0.34,215,USD
2015-05-02,0.34,0.579,0.34,0.34,6,USD
2015-05-03,0.34,0.579,0.34,0.34,0,USD
2015-05-04,0.34,0.34,0.34,0.34,12,USD
2015-05-05,0.34,0.579,0.34,0.34,70,USD
2015-05-06,0.34,0.579,0.34,0.34,6,USD
2015-05-07,0.34,0.579,0.34,0.34,0,USD
2015-05-08,0.34,0.579,0.34,0.521,29,USD
