Date,Open,High,Low,Close,Volume,Currency
2020-10-15,1.109,1.22,1.101,1.121,5800922,USD
2020-10-16,1.121,1.152,0.812,0.8171,18486274,USD
2020-10-17,0.8171,0.8649,0.72,0.8073,11674015,USD
2020-10-18,0.8073,0.8753,0.8007,0.8692,5960006,USD
2020-10-19,0.8692,0.871,0.765,0.7993,5584353,USD
2020-10-20,0.7993,0.81,0.67,0.6757,7510735,USD
2020-10-21,0.6757,0.7475,0.6731,0.7044,7268329,USD
2020-10-22,0.7044,0.7881,0.7042,0.7484,5704823,USD
2020-10-23,0.7484,0.7535,0.6862,0.7271,3774043,USD
2020-10-24,0.7271,0.7585,0.7052,0.7391,3236182,USD
2020-10-25,0.7391,0.8581,0.729,0.8444,11721841,USD
2020-10-26,0.8444,0.8567,0.7396,0.7784,7675163,USD
2020-10-27,0.7784,0.8068,0.7447,0.7598,4825821,USD
2020-10-28,0.7598,0.7785,0.681,0.7,5748697,USD
2020-10-29,0.7,0.7246,0.6702,0.6895,5560174,USD
2020-10-30,0.6895,0.7042,0.6127,0.6306,7402853,USD
2020-10-31,0.6306,0.6564,0.6184,0.6385,4194889,USD
2020-11-01,0.6385,0.6568,0.6,0.635,8584894,USD
2020-11-02,0.635,0.6517,0.5976,0.6064,16305765,USD
2020-11-03,0.6064,0.6123,0.5573,0.5621,5823631,USD
2020-11-04,0.5621,0.5644,0.5246,0.5338,6931956,USD
2020-11-05,0.5338,0.7179,0.5336,0.6912,14869185,USD
2020-11-06,0.6912,0.765,0.6881,0.7193,12581256,USD
2020-11-07,0.7193,0.7932,0.6697,0.6961,14821653,USD
2020-11-08,0.6961,0.8297,0.682,0.8169,7575217,USD
2020-11-09,0.8169,0.9289,0.7972,0.9289,10185872,USD
2020-11-10,0.9289,0.9744,0.882,0.9456,13205405,USD
2020-11-11,0.9456,0.9923,0.8571,0.8604,11130743,USD
2020-11-12,0.8604,0.8796,0.7603,0.7893,10143968,USD
2020-11-13,0.7893,0.918,0.779,0.8981,13561691,USD
2020-11-14,0.8981,0.9039,0.8213,0.8681,12151279,USD
2020-11-15,0.8681,0.8867,0.7978,0.8296,13102922,USD
2020-11-16,0.8296,0.8994,0.8167,0.866,11032348,USD
2020-11-17,0.866,0.9845,0.8643,0.9313,14355276,USD
2020-11-18,0.9313,0.9455,0.8006,0.8324,12874991,USD
2020-11-19,0.8324,0.8769,0.8088,0.8454,7734589,USD
2020-11-20,0.8454,0.95,0.8361,0.9471,9790299,USD
2020-11-21,0.9471,1.217,0.9433,1.185,28382282,USD
2020-11-22,1.185,1.189,0.997,1.077,14640407,USD
2020-11-23,1.077,1.222,1.057,1.171,9126479,USD
2020-11-24,1.171,1.291,1.141,1.243,11175742,USD
2020-11-25,1.243,1.3,1.077,1.105,12384100,USD
2020-11-26,1.105,1.13,0.8972,1.01,21683146,USD
2020-11-27,1.01,1.051,0.9404,0.9959,7154564,USD
2020-11-28,0.9959,1.038,0.9593,1.02,4140747,USD
2020-11-29,1.02,1.045,0.9912,1.014,3067058,USD
2020-11-30,1.014,1.097,1.014,1.078,6761106,USD
2020-12-01,1.078,1.13,0.985,1.06,11870430,USD
2020-12-02,1.06,1.211,1.04,1.177,6566710,USD
2020-12-03,1.177,1.192,1.135,1.155,3890967,USD
2020-12-04,1.155,1.222,1.093,1.102,8285496,USD
2020-12-05,1.102,1.143,1.02,1.113,12921856,USD
2020-12-06,1.113,1.125,1.009,1.034,5619259,USD
2020-12-07,1.034,1.053,1.011,1.012,3922033,USD
2020-12-08,1.012,1.022,0.915,0.9331,6386379,USD
2020-12-09,0.9331,1.014,0.9108,0.995,8365301,USD
2020-12-10,0.995,1.047,0.9549,0.9559,4115316,USD
2020-12-11,0.9559,0.9586,0.8672,0.8692,4985375,USD
2020-12-12,0.8692,0.927,0.8685,0.9194,2812994,USD
2020-12-13,0.9194,0.9793,0.9186,0.9527,2541999,USD
