Date,Open,High,Low,Close,Volume,Currency
2020-08-21,2.909,3.078,2.909,3.078,1066769,USD
2020-08-22,3.078,4.464,2.97,4.464,4020158,USD
2020-08-23,4.451,4.451,3.915,3.977,1560250,USD
2020-08-24,3.977,4.73,3.977,4.594,1559675,USD
2020-08-25,4.595,5.55,4.595,5.55,3024350,USD
2020-08-26,5.55,6.391,5.55,6.059,2112266,USD
2020-08-27,6.059,6.57,5.652,5.652,2218474,USD
2020-08-28,5.652,6.206,5.652,6.17,1605011,USD
2020-08-29,6.17,6.291,6.15,6.15,803570,USD
2020-08-30,6.15,6.15,5.89,5.89,830835,USD
2020-08-31,5.898,6.29,5.898,6.29,805931,USD
2020-09-01,6.29,6.627,6.257,6.257,1016741,USD
2020-09-02,6.257,6.287,5.927,6.127,988583,USD
2020-09-03,6.127,6.249,5.724,5.724,1228432,USD
2020-09-04,5.724,5.893,5.102,5.124,1660662,USD
2020-09-05,5.124,5.124,4.131,4.131,3045676,USD
2020-09-06,4.131,4.78,4.131,4.78,1380088,USD
2020-09-07,4.78,4.78,4.05,4.585,1129037,USD
2020-09-08,4.585,4.585,4.167,4.271,731170,USD
2020-09-09,4.271,4.78,4.271,4.696,787234,USD
2020-09-10,4.696,4.715,4.583,4.583,799202,USD
2020-09-11,4.583,4.655,4.425,4.655,567802,USD
2020-09-12,4.655,5.157,4.51,5.157,622527,USD
2020-09-13,5.157,5.439,5.123,5.315,786741,USD
2020-09-14,5.315,5.366,5.315,5.366,820097,USD
2020-09-15,5.366,5.392,5.058,5.058,792777,USD
2020-09-16,5.058,5.188,5.058,5.071,433181,USD
2020-09-17,5.071,5.396,5.071,5.348,662620,USD
2020-09-18,5.344,5.344,5.253,5.253,503204,USD
2020-09-19,5.253,5.253,4.93,4.93,462132,USD
2020-09-20,4.93,4.93,4.682,4.682,509057,USD
2020-09-21,4.682,4.682,4.055,4.055,1399906,USD
2020-09-22,4.055,4.17,3.958,4.17,558667,USD
2020-09-23,4.17,4.17,4.0,4.0,723784,USD
2020-09-24,4.0,4.388,4.0,4.388,544348,USD
2020-09-25,4.388,4.423,4.31,4.423,617783,USD
2020-09-26,4.423,4.423,4.284,4.332,364946,USD
2020-09-27,4.332,4.332,4.237,4.295,274898,USD
2020-09-28,4.295,4.474,4.295,4.396,615867,USD
2020-09-29,4.456,4.582,4.431,4.49,359818,USD
2020-09-30,4.49,4.49,4.34,4.347,286882,USD
2020-10-01,4.347,4.528,4.347,4.348,589022,USD
2020-10-02,4.348,4.348,4.074,4.12,777261,USD
2020-10-03,4.12,4.12,4.061,4.068,173738,USD
2020-10-04,4.068,4.18,4.068,4.18,352301,USD
2020-10-05,4.18,4.205,4.165,4.165,243637,USD
2020-10-06,4.165,4.165,3.745,3.754,1058698,USD
2020-10-07,3.754,3.858,3.754,3.858,460581,USD
2020-10-08,3.858,4.121,3.684,4.121,600737,USD
2020-10-09,4.121,4.263,4.06,4.263,549523,USD
2020-10-10,4.263,4.329,4.239,4.239,431439,USD
2020-10-11,4.239,4.246,4.208,4.246,285539,USD
2020-10-12,4.246,4.373,4.246,4.308,585342,USD
2020-10-13,4.308,4.315,4.256,4.256,324383,USD
2020-10-14,4.256,4.264,4.168,4.195,449618,USD
2020-10-15,4.195,4.195,4.095,4.095,233914,USD
2020-10-16,4.095,4.095,3.915,3.915,377944,USD
2020-10-17,3.915,3.968,3.915,3.968,78769,USD
2020-10-18,3.968,4.111,3.968,4.111,178087,USD
2020-10-19,4.111,4.111,3.99,3.99,228132,USD
2020-10-20,3.99,4.07,3.913,3.913,367543,USD
2020-10-21,3.913,4.143,3.913,4.143,503033,USD
2020-10-22,4.143,4.27,4.143,4.27,585042,USD
2020-10-23,4.27,4.27,4.199,4.267,327772,USD
2020-10-24,4.267,4.384,4.267,4.361,243229,USD
2020-10-25,4.361,4.424,4.333,4.333,236883,USD
2020-10-26,4.333,4.708,4.333,4.708,678646,USD
2020-10-27,4.708,4.841,4.674,4.674,610002,USD
2020-10-28,4.674,4.726,4.37,4.37,371716,USD
2020-10-29,4.37,4.37,4.057,4.057,495272,USD
2020-10-30,4.057,4.086,4.027,4.086,401780,USD
2020-10-31,4.086,4.199,4.086,4.183,176886,USD
2020-11-01,4.183,4.222,4.144,4.222,110749,USD
2020-11-02,4.222,4.226,4.041,4.041,383060,USD
2020-11-03,4.041,4.041,3.956,4.029,441384,USD
2020-11-04,4.029,4.104,3.948,4.104,419375,USD
2020-11-05,4.104,4.292,4.027,4.232,457985,USD
2020-11-06,4.232,4.587,4.232,4.587,461072,USD
2020-11-07,4.587,4.587,4.24,4.24,795988,USD
2020-11-08,4.24,4.375,4.24,4.375,403795,USD
2020-11-09,4.375,4.425,4.31,4.349,255240,USD
2020-11-10,4.349,4.419,4.349,4.419,273704,USD
2020-11-11,4.419,4.495,4.419,4.455,502315,USD
2020-11-12,4.455,4.455,4.367,4.41,379584,USD
2020-11-13,4.41,4.546,4.41,4.546,296235,USD
2020-11-14,4.546,4.546,4.471,4.471,145443,USD
2020-11-15,4.471,4.477,4.372,4.372,157585,USD
2020-11-16,4.372,4.488,4.372,4.488,388155,USD
2020-11-17,4.488,4.855,4.488,4.855,1023718,USD
2020-11-18,4.855,4.855,4.68,4.69,487745,USD
2020-11-19,4.69,4.758,4.596,4.758,362462,USD
2020-11-20,4.758,5.275,4.758,5.239,1355465,USD
2020-11-21,5.239,5.786,5.239,5.786,738415,USD
2020-11-22,5.786,5.786,5.396,5.52,690958,USD
2020-11-23,5.52,5.917,5.52,5.917,955556,USD
2020-11-24,5.917,5.917,5.708,5.739,1361244,USD
2020-11-25,5.739,5.739,5.31,5.31,930414,USD
2020-11-26,5.31,5.31,4.743,4.805,1368709,USD
2020-11-27,4.807,4.814,4.75,4.814,300981,USD
2020-11-28,4.814,4.903,4.775,4.903,334792,USD
2020-11-29,4.903,5.192,4.903,5.192,515853,USD
2020-11-30,5.192,5.378,5.192,5.378,444027,USD
2020-12-01,5.378,5.378,5.09,5.09,648891,USD
2020-12-02,5.09,5.463,5.09,5.463,357424,USD
2020-12-03,5.463,5.463,5.403,5.405,271776,USD
2020-12-04,5.405,5.431,5.021,5.021,406882,USD
2020-12-05,5.021,5.187,5.021,5.187,207796,USD
2020-12-06,5.187,5.187,5.068,5.133,114988,USD
2020-12-07,5.133,5.133,5.058,5.058,73625,USD
2020-12-08,5.058,5.058,4.733,4.733,538479,USD
2020-12-09,4.733,4.877,4.725,4.877,474825,USD
2020-12-10,4.877,4.877,4.778,4.802,279004,USD
2020-12-11,4.802,4.802,4.619,4.619,203005,USD
2020-12-12,4.619,4.784,4.619,4.734,170600,USD
2020-12-13,4.734,4.951,4.734,4.884,462568,USD
2020-12-14,4.884,4.899,4.85,4.896,253114,USD
2020-12-15,4.896,5.249,4.896,5.249,370801,USD
2020-12-16,5.249,5.373,5.138,5.373,403986,USD
2020-12-17,5.373,5.561,5.347,5.347,1092505,USD
2020-12-18,5.347,5.364,5.261,5.364,607177,USD
2020-12-19,5.364,5.483,5.346,5.346,309018,USD
2020-12-20,5.346,5.39,5.12,5.194,308119,USD
2020-12-21,5.194,5.194,4.875,4.875,780320,USD
2020-12-22,4.875,5.16,4.869,5.16,491074,USD
2020-12-23,5.16,5.16,4.723,4.723,391902,USD
2020-12-24,4.723,5.136,4.723,5.135,473899,USD
2020-12-25,5.111,5.216,5.101,5.216,516563,USD
2020-12-26,5.216,5.216,5.158,5.188,335633,USD
2020-12-27,5.188,5.324,5.11,5.143,1069836,USD
2020-12-28,5.143,6.581,5.143,6.581,2227818,USD
2020-12-29,6.581,7.519,6.336,7.519,2414733,USD
2020-12-30,7.549,7.549,7.151,7.232,1616362,USD
2020-12-31,7.232,9.265,7.232,9.265,3180271,USD
2021-01-01,9.273,9.273,8.247,8.301,2056748,USD
2021-01-02,8.3,9.673,8.3,9.22,3194433,USD
2021-01-03,9.22,10.159,9.0,10.159,2859047,USD
2021-01-04,10.159,10.159,9.517,9.517,2553186,USD
2021-01-05,9.517,9.936,9.22,9.75,1701825,USD
2021-01-06,9.75,10.103,9.75,10.103,1657821,USD
2021-01-07,10.103,10.276,9.602,9.652,3344603,USD
2021-01-08,9.602,9.694,9.316,9.316,2098501,USD
2021-01-09,9.316,9.775,9.316,9.775,1152039,USD
2021-01-10,9.783,9.947,9.309,9.309,1367962,USD
2021-01-11,9.309,9.309,7.621,8.297,3119381,USD
2021-01-12,8.297,8.572,8.19,8.3,893109,USD
2021-01-13,8.3,10.939,8.3,10.939,3707999,USD
2021-01-14,10.939,14.472,10.939,14.472,3872934,USD
2021-01-15,14.503,14.503,13.194,13.194,3690629,USD
2021-01-16,13.173,17.954,13.173,17.954,5101632,USD
2021-01-17,17.992,17.992,16.91,17.098,2931644,USD
2021-01-18,17.098,17.288,16.053,16.583,2204504,USD
2021-01-19,16.583,17.149,16.41,16.41,1757548,USD
2021-01-20,16.41,17.995,15.028,17.995,2829475,USD
2021-01-21,17.995,17.995,15.934,15.934,2526867,USD
2021-01-22,15.938,17.22,15.938,17.22,2346426,USD
2021-01-23,17.154,18.735,17.154,18.735,1699851,USD
2021-01-24,18.75,18.75,17.478,17.99,1156775,USD
2021-01-25,17.99,18.168,17.226,17.226,1512228,USD
2021-01-26,17.226,17.422,16.382,17.131,1254761,USD
2021-01-27,17.131,17.131,15.517,15.517,1751432,USD
2021-01-28,15.517,16.969,15.517,16.909,1369392,USD
2021-01-29,16.909,17.357,16.624,16.814,1260817,USD
2021-01-30,16.814,16.814,16.368,16.557,778973,USD
2021-01-31,16.553,16.7,16.124,16.124,933558,USD
2021-02-01,16.124,16.445,15.852,16.445,768484,USD
2021-02-02,16.445,17.198,16.291,17.198,1421981,USD
2021-02-03,17.161,20.896,17.161,20.896,2452545,USD
2021-02-04,20.896,21.074,19.123,19.719,1969831,USD
2021-02-05,19.719,20.914,19.719,20.87,1870324,USD
2021-02-06,20.863,20.863,20.216,20.398,1137375,USD
2021-02-07,20.398,20.398,19.8,19.8,1521633,USD
2021-02-08,19.8,23.001,19.412,23.001,2124753,USD
2021-02-09,23.001,23.12,22.985,23.12,1430050,USD
2021-02-10,23.109,23.607,22.974,23.607,1617324,USD
2021-02-11,23.607,25.031,23.607,25.031,1581766,USD
2021-02-12,25.012,28.701,25.012,28.701,1687241,USD
2021-02-13,28.701,28.893,27.979,27.979,1710700,USD
2021-02-14,27.979,28.368,26.95,26.95,1007558,USD
2021-02-15,26.951,29.318,26.951,27.782,1643031,USD
2021-02-16,27.782,30.355,27.782,30.035,1943041,USD
2021-02-17,30.035,32.021,30.035,32.021,1490107,USD
2021-02-18,32.021,32.275,31.053,31.053,916299,USD
2021-02-19,31.053,34.82,31.053,34.82,1521199,USD
2021-02-20,34.82,39.017,34.82,39.017,2575339,USD
2021-02-21,39.0,40.282,39.0,39.565,788050,USD
2021-02-22,39.565,39.565,36.986,37.669,2651473,USD
2021-02-23,37.669,37.669,31.204,34.605,3503839,USD
2021-02-24,34.574,36.726,33.1,33.699,1761907,USD
2021-02-25,33.699,33.699,31.201,31.201,1501847,USD
2021-02-26,31.176,32.44,30.168,31.451,2188621,USD
2021-02-27,31.451,34.762,31.451,33.49,1544240,USD
2021-02-28,33.49,34.614,31.417,33.842,1385113,USD
2021-03-01,33.842,35.695,33.842,35.695,995971,USD
2021-03-02,35.696,36.214,35.484,36.214,1383415,USD
2021-03-03,36.214,38.356,36.214,37.054,995734,USD
2021-03-04,37.045,37.112,35.261,35.261,860905,USD
2021-03-05,35.224,35.224,33.134,33.62,1188716,USD
2021-03-06,33.636,33.636,32.684,33.372,579025,USD
2021-03-07,33.372,35.107,33.372,35.107,530886,USD
2021-03-08,35.104,35.104,34.3,34.996,718969,USD
2021-03-09,34.986,38.222,34.986,38.222,1075715,USD
2021-03-10,38.22,39.245,37.582,37.582,1004786,USD
2021-03-11,37.558,37.973,36.904,36.904,1075335,USD
2021-03-12,36.904,36.904,35.85,35.983,859918,USD
2021-03-13,35.983,37.843,35.983,37.147,987442,USD
2021-03-14,37.127,37.396,36.5,36.5,587069,USD
2021-03-15,36.49,36.49,34.284,34.284,811742,USD
2021-03-16,34.315,35.418,32.57,35.418,846210,USD
2021-03-17,35.418,36.144,34.958,36.144,651627,USD
2021-03-18,36.11,36.327,35.348,35.348,761485,USD
2021-03-19,35.326,38.189,35.326,38.189,886964,USD
2021-03-20,38.183,39.287,37.268,37.268,798969,USD
2021-03-21,37.239,37.36,36.644,36.644,457173,USD
2021-03-22,36.644,37.474,35.259,35.259,536580,USD
2021-03-23,35.252,35.252,34.225,34.225,788439,USD
2021-03-24,34.2,35.186,30.26,30.26,1762942,USD
2021-03-25,30.252,30.741,29.173,29.853,1193447,USD
2021-03-26,29.853,33.194,29.853,33.194,786602,USD
2021-03-27,33.194,33.2,32.43,32.646,705393,USD
2021-03-28,32.604,33.026,31.915,32.242,529060,USD
2021-03-29,32.242,34.368,32.242,34.368,933885,USD
2021-03-30,34.338,34.44,33.722,33.973,472673,USD
2021-03-31,33.988,37.179,33.988,37.058,1187525,USD
2021-04-01,37.058,37.437,36.551,37.437,925869,USD
2021-04-02,37.432,40.999,37.432,40.999,670553,USD
2021-04-03,40.999,44.81,40.999,41.368,1326911,USD
2021-04-04,41.353,44.29,41.353,44.29,521920,USD
2021-04-05,44.32,45.807,42.342,45.807,660123,USD
2021-04-06,45.775,45.775,42.955,43.314,601329,USD
2021-04-07,43.344,43.344,38.709,39.585,925528,USD
2021-04-08,39.516,41.332,39.516,41.332,463541,USD
2021-04-09,41.325,41.325,40.471,40.775,351692,USD
2021-04-10,40.78,42.191,40.78,41.587,485887,USD
2021-04-11,41.587,41.587,40.383,41.309,367661,USD
2021-04-12,41.296,41.339,40.159,40.482,406879,USD
2021-04-13,40.482,42.952,40.482,42.952,808682,USD
2021-04-14,42.923,43.781,41.14,42.523,781830,USD
2021-04-15,42.494,43.8,42.045,43.484,722450,USD
2021-04-16,43.444,43.444,41.448,41.448,905480,USD
2021-04-17,41.448,43.144,41.448,42.186,1043539,USD
2021-04-18,42.186,42.186,36.301,37.367,27964760,USD
2021-04-19,37.414,38.639,34.071,34.753,12756284,USD
2021-04-20,34.753,35.73,32.689,35.477,15547847,USD
2021-04-21,35.45,35.835,33.058,33.789,1178302,USD
2021-04-22,33.781,35.976,32.814,32.956,19092808,USD
2021-04-23,32.941,32.941,28.216,32.25,27115074,USD
2021-04-24,32.262,32.368,29.05,29.05,623186,USD
2021-04-25,29.03,30.342,28.117,29.76,8050147,USD
2021-04-26,29.857,33.454,29.82,33.404,13864765,USD
2021-04-27,33.423,34.884,33.423,34.88,10944313,USD
2021-04-28,34.854,34.854,32.897,33.95,9884405,USD
2021-04-29,34.003,35.982,32.984,35.982,9466928,USD
2021-04-30,35.978,36.558,35.308,36.539,11877057,USD
2021-05-01,36.553,37.349,35.869,36.889,8018415,USD
2021-05-02,36.934,37.166,35.601,36.659,7280280,USD
2021-05-03,36.66,37.88,36.66,37.243,9518760,USD
2021-05-04,37.273,37.694,35.322,36.014,14175831,USD
2021-05-05,34.734,40.743,34.734,40.465,17267088,USD
2021-05-06,40.452,41.57,38.131,41.57,1634990,USD
2021-05-07,41.566,42.229,39.909,39.909,923074,USD
2021-05-08,39.909,40.629,38.802,39.872,7657820,USD
2021-05-09,39.94,40.513,38.271,40.315,10775947,USD
2021-05-10,40.347,41.822,32.322,36.484,16308511,USD
2021-05-11,36.536,38.75,35.55,38.75,723820,USD
2021-05-12,38.75,42.383,33.997,34.493,20550536,USD
2021-05-13,34.616,41.765,33.065,39.992,34873796,USD
2021-05-14,40.042,48.075,39.428,48.075,2052982,USD
2021-05-15,47.97,49.743,43.226,43.518,2144996,USD
2021-05-16,43.517,46.636,40.24,42.429,20787034,USD
2021-05-17,42.448,42.448,37.663,38.714,24316088,USD
2021-05-18,38.654,41.456,38.654,40.614,19907410,USD
2021-05-19,40.642,40.642,25.005,25.005,81713800,USD
2021-05-20,25.091,31.25,25.091,28.931,48818664,USD
2021-05-21,29.001,30.884,20.037,24.407,52358784,USD
2021-05-22,24.434,24.434,20.471,22.013,34004472,USD
2021-05-23,22.055,22.707,13.702,17.93,3646885,USD
2021-05-24,17.922,23.246,17.922,23.246,2342966,USD
2021-05-25,23.201,23.712,19.958,22.165,36643392,USD
2021-05-26,22.161,24.674,22.161,24.495,27834472,USD
2021-05-27,24.561,24.561,21.824,23.95,23679868,USD
2021-05-28,23.994,24.478,20.134,21.34,43259312,USD
2021-05-29,21.373,22.292,18.801,19.876,21874432,USD
2021-05-30,19.856,21.236,18.973,20.459,18090552,USD
2021-05-31,20.45,23.304,19.39,23.304,1380877,USD
2021-06-01,23.379,23.5,21.991,22.84,19768276,USD
2021-06-02,22.822,26.834,22.707,25.922,26297620,USD
2021-06-03,25.93,27.996,25.76,26.971,24004232,USD
2021-06-04,26.994,26.994,23.686,25.002,24943364,USD
2021-06-05,25.033,26.322,22.973,23.783,15953289,USD
2021-06-06,23.8,24.454,23.626,24.183,8984828,USD
2021-06-07,24.178,25.28,21.689,21.689,1099056,USD
2021-06-08,21.648,22.012,19.711,21.68,24489564,USD
2021-06-09,21.648,23.277,20.825,23.189,19274052,USD
2021-06-10,23.213,24.418,22.579,22.62,19534162,USD
2021-06-11,22.673,23.089,20.529,20.952,26276000,USD
2021-06-12,20.948,21.25,19.596,20.712,13551968,USD
