Date,Open,High,Low,Close,Volume,Currency
2019-06-27,0.018,0.022,0.017,0.019,1564289792,USD
2019-06-28,0.019,0.021,0.019,0.019,929598144,USD
2019-06-29,0.019,0.027,0.019,0.024,1788176128,USD
2019-06-30,0.024,0.027,0.022,0.022,1522535296,USD
2019-07-01,0.022,0.023,0.02,0.022,974462528,USD
2019-07-02,0.022,0.023,0.02,0.02,749490880,USD
2019-07-03,0.02,0.02,0.019,0.019,770702912,USD
2019-07-04,0.019,0.019,0.017,0.018,758967680,USD
2019-07-05,0.018,0.02,0.018,0.018,583770944,USD
2019-07-06,0.018,0.018,0.018,0.018,294157952,USD
2019-07-07,0.018,0.018,0.017,0.018,335931200,USD
2019-07-08,0.018,0.018,0.017,0.017,451207104,USD
2019-07-09,0.017,0.017,0.015,0.016,620069888,USD
2019-07-10,0.016,0.017,0.015,0.016,769608448,USD
2019-07-11,0.016,0.017,0.014,0.014,587049408,USD
2019-07-12,0.014,0.016,0.014,0.016,535380928,USD
2019-07-13,0.016,0.018,0.015,0.017,760034048,USD
2019-07-14,0.017,0.017,0.014,0.014,595515840,USD
2019-07-15,0.014,0.014,0.013,0.014,478714560,USD
2019-07-16,0.014,0.015,0.012,0.012,539191232,USD
2019-07-17,0.012,0.014,0.012,0.013,606953984,USD
2019-07-18,0.013,0.014,0.012,0.014,525949632,USD
2019-07-19,0.014,0.014,0.013,0.013,287402432,USD
2019-07-20,0.013,0.014,0.013,0.014,170575520,USD
2019-07-21,0.014,0.014,0.013,0.013,100129664,USD
2019-07-22,0.013,0.014,0.012,0.013,123360696,USD
2019-07-23,0.013,0.013,0.011,0.012,178759984,USD
2019-07-24,0.012,0.012,0.011,0.012,192656640,USD
2019-07-25,0.012,0.013,0.012,0.012,130493704,USD
2019-07-26,0.012,0.013,0.012,0.013,137908960,USD
2019-07-27,0.013,0.013,0.012,0.012,137265696,USD
2019-07-28,0.012,0.012,0.011,0.012,98077792,USD
2019-07-29,0.012,0.012,0.011,0.011,89291312,USD
2019-07-30,0.011,0.012,0.011,0.012,76110464,USD
2019-07-31,0.012,0.012,0.011,0.011,147887280,USD
2019-08-01,0.011,0.012,0.011,0.011,199255456,USD
2019-08-02,0.011,0.012,0.011,0.011,190209568,USD
2019-08-03,0.011,0.011,0.011,0.011,178255136,USD
2019-08-04,0.011,0.011,0.01,0.01,147643296,USD
2019-08-05,0.01,0.013,0.01,0.012,838444032,USD
2019-08-06,0.012,0.017,0.012,0.015,1854531456,USD
2019-08-07,0.015,0.021,0.015,0.017,2120471680,USD
2019-08-08,0.017,0.018,0.014,0.014,1008401344,USD
2019-08-09,0.014,0.015,0.012,0.012,689874368,USD
2019-08-10,0.012,0.015,0.012,0.015,942591808,USD
2019-08-11,0.015,0.019,0.014,0.016,1329968128,USD
2019-08-12,0.016,0.018,0.016,0.017,951876480,USD
2019-08-13,0.017,0.017,0.015,0.017,735341056,USD
2019-08-14,0.017,0.017,0.015,0.015,776122880,USD
2019-08-15,0.015,0.016,0.014,0.015,403254816,USD
2019-08-16,0.015,0.015,0.013,0.013,402488480,USD
2019-08-17,0.013,0.015,0.013,0.014,341134560,USD
2019-08-18,0.014,0.015,0.014,0.014,280832544,USD
2019-08-19,0.014,0.016,0.014,0.016,503809952,USD
2019-08-20,0.016,0.016,0.015,0.016,353023744,USD
2019-08-21,0.016,0.016,0.014,0.015,397889184,USD
2019-08-22,0.015,0.017,0.015,0.017,548839872,USD
2019-08-23,0.017,0.017,0.015,0.015,428201056,USD
2019-08-24,0.015,0.015,0.014,0.015,372775488,USD
2019-08-25,0.015,0.015,0.014,0.014,198907360,USD
2019-08-26,0.014,0.015,0.014,0.014,210123328,USD
