Date,Open,High,Low,Close,Volume,Currency
2020-06-04,0.586,0.59,0.561,0.589,558954,USD
2020-06-05,0.589,0.698,0.575,0.661,578564,USD
2020-06-06,0.661,0.661,0.609,0.625,548267,USD
2020-06-07,0.625,0.626,0.591,0.608,426422,USD
2020-06-08,0.608,0.682,0.608,0.667,550094,USD
2020-06-09,0.667,0.669,0.62,0.658,554349,USD
2020-06-10,0.658,0.67,0.636,0.644,535150,USD
2020-06-11,0.644,0.649,0.567,0.571,577626,USD
2020-06-12,0.571,0.604,0.566,0.591,533666,USD
2020-06-13,0.591,0.612,0.583,0.612,533410,USD
2020-06-14,0.612,0.618,0.576,0.586,570216,USD
2020-06-15,0.586,0.589,0.542,0.567,597241,USD
2020-06-16,0.567,0.589,0.566,0.587,577702,USD
2020-06-17,0.587,0.592,0.562,0.58,564001,USD
2020-06-18,0.58,0.654,0.577,0.618,560691,USD
2020-06-19,0.618,0.848,0.617,0.69,583635,USD
2020-06-20,0.69,0.695,0.623,0.646,591235,USD
2020-06-21,0.646,0.754,0.636,0.665,544917,USD
2020-06-22,0.665,0.752,0.643,0.73,555209,USD
2020-06-23,0.733,0.767,0.697,0.707,534958,USD
2020-06-24,0.707,0.8,0.693,0.74,556412,USD
2020-06-25,0.74,0.76,0.695,0.708,568207,USD
2020-06-26,0.708,0.757,0.679,0.749,533694,USD
2020-06-27,0.749,0.749,0.671,0.71,566285,USD
2020-06-28,0.71,0.846,0.685,0.791,490386,USD
2020-06-29,0.793,0.888,0.769,0.857,575438,USD
2020-06-30,0.857,1.01,0.845,0.867,576219,USD
2020-07-01,0.867,0.904,0.822,0.83,545759,USD
2020-07-02,0.83,0.835,0.742,0.776,528896,USD
2020-07-03,0.776,0.783,0.752,0.766,572779,USD
2020-07-04,0.766,0.829,0.76,0.781,598483,USD
2020-07-05,0.781,0.786,0.628,0.69,518550,USD
2020-07-06,0.69,0.707,0.687,0.707,565057,USD
2020-07-07,0.707,0.752,0.707,0.752,552968,USD
2020-07-08,0.752,0.789,0.752,0.789,523590,USD
2020-07-09,0.789,0.855,0.789,0.855,583229,USD
2020-07-10,0.855,0.917,0.855,0.917,563464,USD
2020-07-11,0.917,0.923,0.863,0.923,592403,USD
2020-07-12,0.923,1.011,0.923,1.011,569030,USD
2020-07-13,1.011,1.165,1.011,1.165,581232,USD
2020-07-14,1.165,1.165,1.124,1.156,555009,USD
2020-07-15,1.156,1.296,1.156,1.296,565266,USD
2020-07-16,1.296,1.296,0.835,0.835,574877,USD
2020-07-17,0.835,0.979,0.835,0.979,549754,USD
2020-07-18,0.979,0.979,0.964,0.979,559492,USD
2020-07-19,0.979,0.979,0.923,0.923,576932,USD
2020-07-20,0.923,0.923,0.873,0.873,547727,USD
2020-07-21,0.873,0.973,0.873,0.973,548256,USD
2020-07-22,0.973,1.066,0.973,1.044,566201,USD
2020-07-23,1.044,1.061,1.044,1.061,562422,USD
2020-07-24,1.061,1.061,0.998,0.998,579389,USD
2020-07-25,0.998,1.332,0.998,1.253,547181,USD
2020-07-26,1.253,1.574,1.253,1.574,576107,USD
2020-07-27,1.574,1.816,1.574,1.768,584699,USD
2020-07-28,1.768,1.79,1.719,1.79,546864,USD
2020-07-29,1.789,1.789,1.653,1.653,583159,USD
2020-07-30,1.653,1.752,1.653,1.686,573307,USD
2020-07-31,1.686,1.686,1.538,1.538,550933,USD
2020-08-01,1.538,1.562,1.538,1.539,567987,USD
2020-08-02,1.539,1.745,1.539,1.745,560167,USD
2020-08-03,1.745,1.804,1.733,1.804,560201,USD
2020-08-04,1.804,1.925,1.804,1.862,528786,USD
2020-08-05,1.862,1.862,1.765,1.765,528483,USD
2020-08-06,1.765,2.206,1.765,2.206,558091,USD
2020-08-07,2.206,2.206,2.073,2.073,537242,USD
2020-08-08,2.073,2.475,2.073,2.475,591895,USD
2020-08-09,2.475,2.678,2.475,2.678,533664,USD
2020-08-10,2.678,3.137,2.678,3.137,575045,USD
2020-08-11,3.137,3.243,2.875,3.243,563253,USD
2020-08-12,3.243,3.731,3.243,3.731,558029,USD
2020-08-13,3.731,3.864,3.706,3.711,588293,USD
2020-08-14,3.711,3.711,3.386,3.386,538196,USD
2020-08-15,3.386,3.386,3.196,3.196,560752,USD
2020-08-16,3.196,3.4,3.196,3.4,560853,USD
2020-08-17,3.4,3.4,3.1,3.1,550861,USD
2020-08-18,3.1,3.311,3.1,3.311,605409,USD
2020-08-19,3.311,3.311,2.9,2.9,541631,USD
2020-08-20,2.9,3.217,2.9,3.217,578719,USD
2020-08-21,3.217,3.219,2.948,2.948,420988,USD
2020-08-22,2.948,3.036,2.834,3.036,544169,USD
2020-08-23,3.036,3.363,3.036,3.319,565286,USD
2020-08-24,3.319,3.383,3.319,3.383,569313,USD
2020-08-25,3.383,3.383,3.181,3.261,550502,USD
2020-08-26,3.261,3.689,3.261,3.564,565943,USD
2020-08-27,3.564,3.564,3.371,3.427,532270,USD
2020-08-28,3.427,4.019,3.427,4.019,560244,USD
2020-08-29,4.019,4.019,3.997,3.997,362322,USD
2020-08-30,3.997,4.453,3.997,4.453,287444,USD
2020-08-31,4.453,4.772,4.258,4.772,558655,USD
2020-09-01,4.772,4.772,4.49,4.49,376609,USD
2020-09-02,4.49,4.49,4.119,4.17,1415018,USD
2020-09-03,4.17,4.17,3.975,3.975,1390038,USD
2020-09-04,3.975,3.975,3.61,3.61,1054375,USD
2020-09-05,3.61,3.61,2.454,2.454,15163,USD
2020-09-06,2.454,3.04,2.454,3.04,1230,USD
2020-09-07,3.04,3.17,2.401,2.938,962935,USD
2020-09-08,2.938,2.938,2.48,2.48,1384552,USD
2020-09-09,2.48,3.623,2.48,3.623,1882353,USD
2020-09-10,3.623,3.772,3.466,3.466,2081864,USD
2020-09-11,3.466,3.466,3.146,3.401,1711450,USD
2020-09-12,3.401,3.401,3.231,3.331,1763208,USD
2020-09-13,3.331,3.331,3.166,3.201,1698986,USD
2020-09-14,3.201,3.265,3.201,3.265,1815803,USD
2020-09-15,3.265,3.276,2.936,2.936,1721840,USD
2020-09-16,2.936,2.936,2.571,2.571,1090700,USD
2020-09-17,2.571,2.897,2.571,2.897,910450,USD
2020-09-18,2.897,3.103,2.897,3.103,1625768,USD
2020-09-19,3.103,3.173,3.026,3.026,1677307,USD
2020-09-20,3.026,3.026,2.866,2.872,1695711,USD
2020-09-21,2.872,2.872,2.65,2.769,1541263,USD
2020-09-22,2.769,2.911,2.769,2.911,1454875,USD
2020-09-23,2.911,2.911,2.84,2.84,1629205,USD
2020-09-24,2.84,3.152,2.84,3.152,1793895,USD
2020-09-25,3.152,3.187,3.152,3.187,1728953,USD
2020-09-26,3.187,3.187,3.086,3.13,1666334,USD
2020-09-27,3.13,3.155,3.13,3.155,1786066,USD
2020-09-28,3.155,3.155,2.957,2.957,1714332,USD
2020-09-29,2.957,2.984,2.934,2.945,1669267,USD
2020-09-30,2.945,2.945,2.895,2.895,1553983,USD
2020-10-01,2.895,2.983,2.862,2.862,1677904,USD
2020-10-02,2.862,2.862,2.625,2.625,1474112,USD
2020-10-03,2.625,2.625,2.538,2.538,1533133,USD
2020-10-04,2.538,2.547,2.511,2.515,1382885,USD
2020-10-05,2.515,2.654,2.489,2.654,1493585,USD
2020-10-06,2.654,2.654,2.17,2.17,1371540,USD
2020-10-07,2.17,2.308,2.17,2.308,1346288,USD
2020-10-08,2.308,2.376,2.244,2.376,1248789,USD
2020-10-09,2.376,2.539,2.376,2.539,1351661,USD
2020-10-10,2.539,2.539,2.404,2.404,1449877,USD
2020-10-11,2.404,2.422,2.404,2.422,1370092,USD
2020-10-12,2.422,2.582,2.422,2.582,1443196,USD
2020-10-13,2.582,2.582,2.41,2.41,1474615,USD
2020-10-14,2.41,2.41,2.313,2.313,1306006,USD
2020-10-15,2.313,2.313,2.268,2.268,1279764,USD
2020-10-16,2.268,2.268,2.132,2.132,1272024,USD
2020-10-17,2.132,2.2,2.132,2.2,1252375,USD
2020-10-18,2.2,2.212,2.2,2.212,1194071,USD
2020-10-19,2.212,2.212,2.057,2.057,1167555,USD
2020-10-20,2.057,2.057,1.885,1.885,1136928,USD
2020-10-21,1.885,1.93,1.885,1.888,1032501,USD
2020-10-22,1.888,1.956,1.888,1.956,1122317,USD
2020-10-23,1.956,1.967,1.956,1.967,1048660,USD
2020-10-24,1.967,1.967,1.911,1.911,1162584,USD
2020-10-25,1.911,1.911,1.776,1.793,1012625,USD
2020-10-26,1.793,1.793,1.682,1.682,1009500,USD
2020-10-27,1.682,1.719,1.669,1.719,930364,USD
2020-10-28,1.719,1.719,1.517,1.517,873567,USD
2020-10-29,1.517,1.528,1.431,1.431,863090,USD
2020-10-30,1.431,1.443,1.431,1.443,797793,USD
2020-10-31,1.443,1.553,1.443,1.553,842271,USD
2020-11-01,1.553,1.602,1.532,1.602,763098,USD
2020-11-02,1.602,1.602,1.481,1.481,903246,USD
2020-11-03,1.481,1.481,1.413,1.413,924707,USD
2020-11-04,1.413,1.413,1.357,1.395,789622,USD
2020-11-05,1.395,1.483,1.322,1.405,761256,USD
2020-11-06,1.405,1.915,1.405,1.915,1219248,USD
2020-11-07,1.915,2.128,1.915,2.026,2313221,USD
2020-11-08,2.026,2.144,1.975,2.144,1749140,USD
2020-11-09,2.144,2.144,2.028,2.031,1852156,USD
2020-11-10,2.031,2.261,2.031,2.261,1467985,USD
2020-11-11,2.261,2.261,2.006,2.006,1251029,USD
2020-11-12,2.006,2.006,1.904,1.904,1159403,USD
2020-11-13,1.904,2.018,1.904,2.018,1088079,USD
2020-11-14,2.018,2.018,1.921,1.921,1084855,USD
2020-11-15,1.921,2.152,1.921,2.047,1207963,USD
2020-11-16,2.047,2.358,2.047,2.263,1250735,USD
2020-11-17,2.263,2.263,2.166,2.199,1277289,USD
2020-11-18,2.199,2.199,2.124,2.124,1308007,USD
2020-11-19,2.124,2.151,2.026,2.083,1254996,USD
2020-11-20,2.083,2.107,2.083,2.107,1252780,USD
2020-11-21,2.107,2.454,2.107,2.397,1551546,USD
2020-11-22,2.397,2.397,2.152,2.152,1287721,USD
2020-11-23,2.152,2.293,2.152,2.279,1298003,USD
2020-11-24,2.277,2.277,2.184,2.276,1442176,USD
2020-11-25,2.276,2.276,2.274,2.274,2924714,USD
2020-11-26,2.274,2.274,1.841,1.89,1207378,USD
2020-11-27,1.89,1.89,1.856,1.856,1209083,USD
2020-11-28,1.856,1.887,1.856,1.887,1144404,USD
2020-11-29,1.887,1.927,1.887,1.917,1049659,USD
2020-11-30,1.917,1.964,1.915,1.964,1054367,USD
2020-12-01,1.964,1.964,1.964,1.964,1105764,USD
2020-12-02,1.964,2.114,1.964,2.114,1182405,USD
2020-12-03,2.114,2.192,2.099,2.099,1283101,USD
2020-12-04,2.099,2.099,1.854,1.854,1108931,USD
2020-12-05,1.854,1.984,1.854,1.984,1072571,USD
2020-12-06,1.984,1.984,1.852,1.852,1078478,USD
2020-12-07,1.852,1.873,1.831,1.831,1068648,USD
2020-12-08,1.831,1.831,1.66,1.66,944939,USD
2020-12-09,1.66,1.663,1.66,1.663,952196,USD
2020-12-10,1.663,1.663,1.579,1.579,890904,USD
2020-12-11,1.579,1.579,1.447,1.447,909577,USD
2020-12-12,1.447,1.508,1.447,1.508,896330,USD
2020-12-15,1.709,1.755,1.707,1.755,575934,USD
2020-12-16,1.755,1.781,1.675,1.781,583455,USD
2020-12-17,1.781,1.787,1.682,1.682,552185,USD
2020-12-18,1.682,1.693,1.682,1.693,590606,USD
2020-12-19,1.693,1.693,1.668,1.668,612741,USD
2020-12-20,1.668,1.668,1.565,1.565,574667,USD
2020-12-21,1.565,1.565,1.511,1.543,491130,USD
2020-12-22,1.543,1.551,1.481,1.487,548857,USD
2020-12-23,1.487,1.487,1.205,1.205,572537,USD
2020-12-24,1.205,1.359,1.205,1.359,542366,USD
2020-12-25,1.359,1.444,1.359,1.444,525939,USD
2020-12-26,1.444,1.444,1.328,1.328,562530,USD
2020-12-27,1.328,1.378,1.283,1.302,573175,USD
2020-12-28,1.302,1.519,1.302,1.519,549132,USD
2020-12-29,1.519,1.674,1.519,1.674,571870,USD
2020-12-30,1.674,1.674,1.535,1.535,591664,USD
2020-12-31,1.535,1.535,1.512,1.512,907753,USD
2021-01-01,1.512,1.832,1.512,1.832,1172549,USD
2021-01-02,1.832,1.987,1.766,1.796,1501764,USD
2021-01-03,1.796,2.187,1.796,2.187,1466428,USD
2021-01-04,2.187,2.467,2.187,2.467,1256792,USD
2021-01-05,2.467,2.467,2.16,2.16,2188463,USD
2021-01-06,2.16,2.16,1.926,1.926,1108405,USD
2021-01-07,1.926,2.382,1.926,2.382,2827047,USD
2021-01-08,2.382,3.21,2.382,3.21,561664,USD
2021-01-09,3.21,3.359,3.21,3.359,456115,USD
2021-01-10,3.359,3.73,3.28,3.46,565996,USD
2021-01-11,3.46,3.46,3.105,3.105,593012,USD
2021-01-12,3.105,3.608,3.105,3.608,559291,USD
2021-01-13,3.608,3.608,3.426,3.537,586308,USD
2021-01-14,3.537,3.537,3.282,3.282,565660,USD
2021-01-15,3.282,3.282,3.257,3.257,552938,USD
2021-01-16,3.257,3.453,3.257,3.453,607994,USD
2021-01-17,3.453,3.818,3.453,3.818,572825,USD
2021-01-18,3.818,3.818,3.784,3.784,555943,USD
2021-01-19,3.784,3.93,3.648,3.648,571239,USD
2021-01-20,3.648,3.727,3.648,3.727,550237,USD
2021-01-21,3.727,3.727,2.977,2.977,547139,USD
2021-01-22,2.977,3.336,2.977,3.336,531434,USD
2021-01-23,3.336,3.499,3.336,3.499,583961,USD
2021-01-24,3.499,3.63,3.499,3.63,566192,USD
2021-01-25,3.63,3.703,3.541,3.703,593275,USD
2021-01-26,3.703,4.04,3.703,4.04,561981,USD
2021-01-27,4.04,4.04,3.764,3.764,599540,USD
2021-01-28,3.764,3.816,3.764,3.816,528355,USD
2021-01-29,3.816,3.886,3.789,3.886,580348,USD
2021-01-30,3.886,4.201,3.886,4.201,595644,USD
2021-01-31,4.201,4.255,4.201,4.255,573232,USD
2021-02-01,4.255,4.615,4.255,4.615,584667,USD
2021-02-02,4.615,5.266,4.615,5.266,536292,USD
2021-02-03,5.266,5.712,5.148,5.712,578668,USD
2021-02-04,5.712,6.445,5.712,6.445,554466,USD
2021-02-05,6.445,6.893,6.445,6.702,545107,USD
2021-02-06,6.702,6.702,6.101,6.101,550129,USD
2021-02-07,6.101,6.753,6.101,6.701,559581,USD
2021-02-08,6.701,7.883,6.701,7.883,598280,USD
2021-02-09,7.883,7.883,7.829,7.829,563636,USD
2021-02-10,7.829,9.096,7.829,9.096,539422,USD
2021-02-11,9.096,9.195,9.096,9.195,483901,USD
2021-02-12,9.195,9.225,9.195,9.225,582689,USD
2021-02-13,9.225,9.268,8.732,8.732,535356,USD
2021-02-14,8.732,8.732,8.711,8.731,549256,USD
2021-02-15,8.731,9.009,8.731,8.864,568307,USD
2021-02-16,8.864,8.864,8.302,8.302,546635,USD
2021-02-17,8.302,8.302,7.9,8.227,597888,USD
2021-02-18,8.227,9.017,8.227,9.017,558090,USD
2021-02-19,9.017,11.47,9.017,11.47,575554,USD
2021-02-20,11.47,11.47,9.991,9.991,564030,USD
2021-02-21,9.991,11.072,9.991,11.072,549861,USD
2021-02-22,11.072,14.464,9.925,14.464,567425,USD
2021-02-23,14.464,15.144,12.293,15.144,558530,USD
2021-02-24,15.144,17.256,15.144,17.256,570788,USD
2021-02-25,17.256,17.256,13.909,13.909,547223,USD
2021-02-26,13.909,13.909,13.579,13.579,553842,USD
2021-02-27,13.579,13.579,13.164,13.164,556828,USD
2021-02-28,13.164,15.021,13.164,15.021,510485,USD
2021-03-01,15.021,15.021,14.92,15.002,380970,USD
2021-03-02,15.002,15.002,13.958,13.958,586268,USD
2021-03-03,13.958,14.102,13.958,14.102,546909,USD
2021-03-04,14.102,14.102,13.052,13.08,565133,USD
2021-03-05,13.08,13.08,12.575,12.575,553744,USD
2021-03-06,12.575,13.033,12.329,13.033,517894,USD
2021-03-07,13.033,13.789,13.033,13.789,576655,USD
2021-03-08,13.789,13.789,13.62,13.62,531500,USD
2021-03-09,13.62,14.807,13.62,14.807,561094,USD
2021-03-10,14.807,14.807,14.24,14.24,554640,USD
2021-03-11,14.24,16.021,14.132,16.021,574401,USD
2021-03-12,16.021,16.021,14.585,14.585,553994,USD
2021-03-13,14.585,15.332,14.585,15.332,575514,USD
2021-03-14,15.332,15.332,14.519,14.519,559758,USD
2021-03-15,14.519,14.519,14.116,14.165,552032,USD
2021-03-16,14.165,14.165,13.594,13.637,579615,USD
2021-03-17,13.637,14.205,13.357,14.205,408152,USD
2021-03-18,14.205,14.214,14.205,14.214,293614,USD
2021-03-19,14.214,14.214,14.142,14.142,287363,USD
2021-03-20,14.142,14.21,14.142,14.21,286563,USD
2021-03-21,14.21,14.349,14.21,14.349,281687,USD
2021-03-22,14.349,15.842,14.349,14.885,271378,USD
2021-03-23,14.885,14.885,14.183,14.183,284854,USD
2021-03-24,14.183,14.621,13.577,13.577,278317,USD
2021-03-25,13.577,13.577,12.71,12.983,282270,USD
2021-03-26,12.983,14.75,12.983,14.75,281261,USD
2021-03-27,14.75,16.52,14.75,16.52,278379,USD
2021-03-28,16.52,17.973,16.52,17.973,277914,USD
2021-03-29,17.973,18.921,17.973,18.921,292530,USD
2021-03-30,18.921,20.27,18.921,19.208,291402,USD
2021-03-31,19.208,19.476,19.208,19.445,287570,USD
2021-04-01,19.445,19.445,19.01,19.01,281117,USD
2021-04-02,19.01,19.768,19.01,19.768,285998,USD
2021-04-03,19.768,22.603,19.768,22.401,182649,USD
2021-04-04,22.401,24.001,22.401,24.001,291677,USD
2021-04-05,24.001,24.001,22.982,22.982,306789,USD
2021-04-06,22.982,24.996,22.982,24.996,292695,USD
2021-04-07,24.996,26.589,24.996,26.589,269374,USD
2021-04-08,26.589,27.358,26.589,26.997,287713,USD
2021-04-09,26.997,27.733,26.997,27.733,287411,USD
2021-04-10,27.733,27.733,26.778,26.778,288759,USD
2021-04-11,26.778,27.809,26.778,27.809,341196,USD
2021-04-12,27.809,29.153,27.809,28.462,300433,USD
2021-04-13,28.462,28.462,27.467,27.467,276522,USD
2021-04-14,27.467,27.467,26.46,26.46,285806,USD
2021-04-15,26.46,27.791,26.46,27.791,121321,USD
2021-04-16,27.791,27.791,25.388,25.388,276104,USD
2021-04-17,25.388,26.076,24.88,24.88,245911,USD
2021-04-18,24.88,32.312,24.88,32.312,326031,USD
2021-04-19,32.312,32.312,31.559,31.559,298423,USD
2021-04-20,31.559,31.71,31.157,31.71,267708,USD
2021-04-21,31.71,32.398,31.71,32.398,292397,USD
2021-04-22,32.398,38.878,32.398,38.878,280015,USD
2021-04-23,38.878,38.878,37.072,37.072,288849,USD
2021-04-24,37.072,40.691,37.072,40.691,304203,USD
2021-04-25,40.691,47.507,40.691,47.507,235995,USD
2021-04-26,47.507,47.507,43.891,43.891,278359,USD
2021-04-27,43.891,43.891,43.263,43.263,194900,USD
2021-04-28,43.263,44.976,43.263,44.976,274355,USD
2021-04-29,44.976,44.976,42.601,42.601,287195,USD
2021-04-30,42.601,42.967,42.601,42.967,282988,USD
2021-05-01,42.967,49.61,42.967,49.61,295737,USD
2021-05-02,49.61,49.61,46.913,46.913,306790,USD
2021-05-03,46.913,46.913,45.904,45.904,297970,USD
2021-05-04,45.904,45.904,42.705,42.705,280586,USD
2021-05-05,42.705,44.883,42.705,44.883,285328,USD
2021-05-06,44.883,44.883,43.446,43.446,276989,USD
2021-05-07,43.446,43.446,43.001,43.001,284871,USD
2021-05-08,43.001,45.674,43.001,45.674,267696,USD
2021-05-09,45.674,45.674,44.304,44.304,301309,USD
2021-05-10,44.304,44.304,42.829,42.829,297727,USD
2021-05-11,42.829,44.622,40.555,44.622,287064,USD
2021-05-12,44.622,47.534,43.017,43.017,276937,USD
2021-05-13,43.017,44.49,40.233,40.233,115239,USD
2021-05-14,40.233,42.781,40.233,42.781,129817,USD
2021-05-15,42.781,43.455,42.781,43.455,363069,USD
2021-05-16,43.455,46.98,43.455,46.98,84996,USD
2021-05-17,46.98,46.98,46.837,46.837,227854,USD
2021-05-18,46.837,56.083,46.837,56.083,303009,USD
2021-05-19,56.083,56.083,35.698,35.698,328539,USD
2021-05-20,35.698,44.748,35.698,44.748,320883,USD
2021-05-21,44.748,44.748,38.667,38.667,312464,USD
2021-05-22,38.667,38.667,31.272,31.272,513902,USD
2021-05-23,31.272,31.272,21.808,24.718,932323,USD
2021-05-24,24.718,31.29,24.718,31.29,595538,USD
2021-05-25,31.29,31.29,29.953,29.953,310843,USD
2021-05-26,29.953,35.496,29.953,35.496,325276,USD
2021-05-27,35.496,35.496,33.556,33.556,277812,USD
2021-05-28,33.556,33.556,29.024,29.024,305468,USD
2021-05-29,29.024,29.024,27.366,27.366,327598,USD
2021-05-30,27.366,28.514,27.366,28.514,423611,USD
2021-05-31,28.514,32.648,28.514,32.648,614953,USD
2021-06-01,32.648,32.648,30.96,30.96,366293,USD
2021-06-02,30.96,33.917,30.96,33.917,268167,USD
2021-06-03,33.917,39.423,33.917,39.423,321499,USD
2021-06-04,39.423,39.423,37.061,37.517,361279,USD
2021-06-05,37.517,39.764,37.517,39.764,625318,USD
2021-06-06,39.764,42.25,39.764,42.25,583101,USD
2021-06-07,42.25,42.25,38.182,38.182,467886,USD
2021-06-08,38.182,41.398,38.182,41.398,321483,USD
2021-06-09,41.398,42.338,41.398,41.983,304495,USD
2021-06-10,41.983,41.983,40.972,40.972,272784,USD
2021-06-11,40.972,40.972,35.951,35.951,326019,USD
2021-06-12,35.951,36.397,35.951,36.397,498880,USD
2021-06-13,36.397,38.828,36.397,38.828,541482,USD
2021-06-14,38.828,39.669,38.828,39.669,703515,USD
2021-06-15,39.669,40.918,39.669,39.694,453273,USD
2021-06-16,39.694,39.694,37.865,39.616,288692,USD
2021-06-17,39.616,40.826,39.216,39.216,275649,USD
2021-06-18,39.216,39.216,36.544,36.544,298440,USD
2021-06-19,36.544,36.544,35.161,35.161,296390,USD
2021-06-20,35.161,35.217,35.161,35.217,463473,USD
2021-06-21,35.217,35.217,26.543,26.543,634942,USD
2021-06-22,26.543,26.692,26.543,26.692,342884,USD
2021-06-23,26.692,30.763,26.692,30.763,296151,USD
2021-06-24,30.763,31.291,30.763,31.291,310418,USD
2021-06-25,31.291,31.291,28.892,28.892,306013,USD
2021-06-26,28.892,29.565,28.892,29.565,325195,USD
2021-06-27,29.565,31.673,29.565,31.673,293578,USD
