Date,Open,High,Low,Close,Volume,Currency
2017-02-22,0.00204,0.00209,0.00194,0.00203,7523981,USD
2017-02-23,0.00203,0.00207,0.00194,0.00201,48686,USD
2017-02-24,0.00201,0.00201,0.00201,0.00201,0,USD
2017-02-25,0.00188,0.00194,0.00182,0.00189,691874,USD
2017-02-26,0.00189,0.00195,0.00178,0.0019,2093558,USD
2017-02-27,0.0019,0.00196,0.0018,0.0018,1348037,USD
2017-02-28,0.0018,0.0019,0.00179,0.00184,1382251,USD
2017-03-01,0.00184,0.0019,0.00155,0.00173,6190618,USD
2017-03-02,0.00173,0.00194,0.00169,0.00179,10456747,USD
2017-03-03,0.00179,0.00189,0.00175,0.00181,2809608,USD
2017-03-04,0.00181,0.00184,0.00176,0.00176,1358582,USD
2017-03-05,0.00176,0.00179,0.0017,0.00174,3251282,USD
2017-03-06,0.00174,0.00205,0.00174,0.00205,5344155,USD
2017-03-07,0.00205,0.00213,0.0017,0.00204,3244661,USD
2017-03-08,0.00204,0.0021,0.00178,0.00181,6911310,USD
2017-03-09,0.00181,0.00201,0.0017,0.00179,6868162,USD
2017-03-10,0.00179,0.00192,0.00151,0.00172,12864918,USD
2017-03-11,0.00172,0.00181,0.00163,0.00175,2568197,USD
2017-03-12,0.00175,0.00185,0.00175,0.00185,7841458,USD
2017-03-13,0.00185,0.00207,0.00184,0.00196,14575696,USD
2017-03-14,0.00196,0.00202,0.00184,0.0019,3083370,USD
2017-03-15,0.0019,0.00202,0.00184,0.00193,6105155,USD
2017-03-16,0.00193,0.00198,0.00181,0.00194,8754203,USD
2017-03-17,0.00194,0.002,0.00181,0.00183,5856682,USD
2017-03-18,0.00183,0.002,0.00182,0.00182,17184780,USD
2017-03-19,0.00182,0.00201,0.00178,0.00185,11067648,USD
2017-03-20,0.00185,0.00194,0.00184,0.00192,2605515,USD
2017-03-21,0.00192,0.0023,0.00185,0.00214,10781056,USD
2017-03-22,0.00214,0.00215,0.00183,0.00192,12058973,USD
2017-03-23,0.00192,0.00227,0.00192,0.00225,17461740,USD
2017-03-24,0.00225,0.00245,0.00201,0.00204,30256856,USD
2017-03-25,0.00204,0.00224,0.00191,0.00191,21575826,USD
2017-03-26,0.00191,0.00216,0.00191,0.00198,15352141,USD
2017-03-27,0.00198,0.0021,0.00179,0.00192,34169336,USD
2017-03-28,0.00192,0.00209,0.0018,0.00194,20279200,USD
2017-03-29,0.00194,0.00215,0.00188,0.00199,14445112,USD
2017-03-30,0.00199,0.00248,0.00195,0.00228,33410806,USD
2017-03-31,0.00228,0.0029,0.00217,0.00237,39007024,USD
2017-04-01,0.00237,0.0028,0.0023,0.00268,20982058,USD
2017-04-02,0.00268,0.00476,0.00253,0.00429,115550048,USD
2017-04-03,0.00429,0.0052,0.00286,0.00329,85534368,USD
2017-04-04,0.00329,0.00346,0.0027,0.00293,34993400,USD
2017-04-05,0.00293,0.00354,0.00288,0.00318,74815104,USD
2017-04-06,0.00318,0.00345,0.00274,0.00287,55443924,USD
2017-04-07,0.00287,0.00299,0.00264,0.00275,54947208,USD
2017-04-08,0.00275,0.00314,0.00269,0.00295,44567024,USD
2017-04-09,0.00295,0.003,0.00273,0.00279,54988252,USD
2017-04-10,0.00279,0.00288,0.00273,0.00283,14595944,USD
2017-04-11,0.00283,0.00289,0.00278,0.00283,10283064,USD
2017-04-12,0.00283,0.00336,0.0028,0.00305,66852288,USD
2017-04-13,0.00305,0.00313,0.00298,0.00311,23656254,USD
2017-04-14,0.00311,0.00335,0.00287,0.00325,32085756,USD
2017-04-15,0.00325,0.0035,0.00313,0.0034,33951276,USD
2017-04-16,0.00347,0.00403,0.00335,0.00381,51853832,USD
2017-04-17,0.00381,0.00393,0.00351,0.00367,36729808,USD
2017-04-18,0.00367,0.0039,0.0035,0.00389,26902438,USD
2017-04-19,0.00389,0.00392,0.00341,0.0037,39752148,USD
2017-04-20,0.0037,0.0038,0.00346,0.00359,22776980,USD
2017-04-21,0.00359,0.00373,0.00333,0.00368,42822068,USD
2017-04-22,0.00368,0.00384,0.00367,0.00382,18179124,USD
2017-04-23,0.00382,0.00388,0.00371,0.00385,15726120,USD
2017-04-24,0.00385,0.0043,0.00383,0.00418,34052384,USD
2017-04-25,0.00418,0.00431,0.00396,0.00411,20039412,USD
2017-04-26,0.00411,0.0044,0.00398,0.00418,38359284,USD
2017-04-27,0.00418,0.00434,0.00414,0.00432,19558916,USD
2017-04-28,0.00432,0.0049,0.0042,0.00482,52589148,USD
2017-04-29,0.00482,0.00573,0.00473,0.00534,66571432,USD
2017-04-30,0.00534,0.00588,0.00499,0.0052,84126592,USD
2017-05-01,0.0052,0.00616,0.0049,0.0056,86069592,USD
2017-05-02,0.0056,0.0058,0.00478,0.00518,60421220,USD
2017-05-03,0.00518,0.00562,0.00487,0.00558,44618056,USD
2017-05-04,0.00558,0.00772,0.00554,0.0068,135064464,USD
2017-05-05,0.0068,0.0146,0.0068,0.01086,462535904,USD
2017-05-06,0.01086,0.024,0.01067,0.0225,555479104,USD
2017-05-07,0.0225,0.0821,0.01889,0.04549,721255680,USD
2017-05-08,0.04549,0.056,0.032,0.04004,520380992,USD
2017-05-09,0.04004,0.04339,0.022,0.0284,286982752,USD
2017-05-10,0.0284,0.03854,0.027,0.03204,159642768,USD
2017-05-11,0.03204,0.045,0.02767,0.037,314477664,USD
2017-05-12,0.037,0.04778,0.037,0.0416,219301760,USD
2017-05-13,0.0416,0.04332,0.03655,0.0385,110030440,USD
2017-05-14,0.0385,0.04213,0.037,0.0395,89066688,USD
2017-05-15,0.0395,0.04484,0.03825,0.04459,109956840,USD
2017-05-16,0.04459,0.05316,0.04382,0.0505,190506480,USD
2017-05-17,0.0505,0.05596,0.0415,0.04997,127037272,USD
2017-05-18,0.04997,0.05,0.042,0.04731,80706952,USD
2017-05-19,0.04731,0.05555,0.0453,0.0494,108609128,USD
2017-05-20,0.0494,0.0552,0.04921,0.05375,47272216,USD
2017-05-21,0.05375,0.06909,0.05291,0.06216,91742712,USD
2017-05-22,0.06216,0.06553,0.0462,0.05012,79008584,USD
2017-05-23,0.05012,0.05725,0.049,0.05519,47232948,USD
