Date,Open,High,Low,Close,Volume,Currency
2020-11-06,2.1881,2.569,2.1881,2.569,29790556,USD
2020-11-07,2.5742,2.9334,2.475,2.475,38125320,USD
2020-11-08,2.4725,2.8724,2.4725,2.8724,13010505,USD
2020-11-09,2.8603,2.8603,2.6235,2.68,11032404,USD
2020-11-10,2.6779,3.0751,2.6401,3.0751,16785468,USD
2020-11-11,3.0851,3.1348,2.9341,2.9341,12860891,USD
2020-11-12,2.9332,3.078,2.8921,2.9598,9926377,USD
2020-11-13,2.9598,3.8543,2.954,3.8543,24138192,USD
2020-11-14,3.8461,3.8572,3.6101,3.8104,22334572,USD
2020-11-15,3.8127,4.1955,3.65,3.8431,23575444,USD
2020-11-16,3.8254,3.8533,3.5061,3.565,24094480,USD
2020-11-17,3.5659,3.8082,3.5659,3.8082,18163536,USD
2020-11-18,3.8149,3.8149,3.3328,3.4599,15443891,USD
2020-11-19,3.4625,3.825,3.2791,3.7255,18702846,USD
2020-11-20,3.7417,3.998,3.7125,3.8603,17016332,USD
2020-11-21,3.857,3.9228,3.6573,3.8382,15600096,USD
2020-11-22,3.8524,3.8524,3.6198,3.683,11204747,USD
2020-11-23,3.7036,4.2177,3.6382,4.1816,15959187,USD
2020-11-24,4.1946,4.3533,4.0029,4.0693,18390044,USD
2020-11-25,4.063,4.063,3.6716,3.6716,11368258,USD
2020-11-26,3.6639,3.703,3.2067,3.4284,17184750,USD
2020-11-27,3.444,3.477,3.2537,3.3108,8370864,USD
2020-11-28,3.3101,3.4913,3.2922,3.4616,5741486,USD
2020-11-29,3.461,3.5508,3.3952,3.5508,4758307,USD
2020-11-30,3.5635,3.7794,3.5589,3.7794,8222824,USD
2020-12-01,3.7765,3.925,3.5491,3.5491,9909475,USD
2020-12-02,3.5455,4.0561,3.5455,3.9435,12006124,USD
2020-12-03,3.9426,3.9848,3.8388,3.8829,6927498,USD
2020-12-04,3.8756,3.8756,3.517,3.517,4747949,USD
2020-12-05,3.5169,3.6861,3.4967,3.6861,3898175,USD
2020-12-06,3.6829,3.7189,3.5294,3.648,3549424,USD
2020-12-07,3.6542,3.8043,3.5799,3.7576,5872204,USD
2020-12-08,3.761,3.761,3.2979,3.2979,7193197,USD
2020-12-09,3.2902,3.3685,3.201,3.357,6530201,USD
