Date,Open,High,Low,Close,Volume,Currency
2019-06-27,1.8775,1.9412,1.7177,1.7718,2637816,USD
2019-06-28,1.7718,1.9033,1.7256,1.8282,1258599,USD
2019-06-29,1.8282,1.9181,1.7988,1.9064,1005902,USD
2019-06-30,1.9064,1.9188,1.7536,1.7616,1033908,USD
2019-07-01,1.7616,1.8047,1.746,1.7483,714554,USD
2019-07-02,1.7483,1.757,1.6658,1.7262,2405048,USD
2019-07-03,1.7262,1.7555,1.6656,1.7003,763817,USD
2019-07-04,1.7003,1.804,1.6996,1.7873,1005200,USD
2019-07-05,1.7873,1.8048,1.6902,1.7647,873957,USD
2019-07-06,1.7647,1.7712,1.7129,1.7145,336306,USD
2019-07-07,1.7145,1.751,1.6975,1.733,251601,USD
2019-07-08,1.733,1.749,1.6182,1.6196,1104750,USD
2019-07-09,1.6196,1.6248,1.4851,1.587,2836806,USD
2019-07-10,1.587,1.5909,1.4825,1.5039,1823517,USD
2019-07-11,1.5039,1.5675,1.4666,1.5094,1931700,USD
2019-07-12,1.5094,1.5222,1.4209,1.4902,1157063,USD
2019-07-13,1.4902,1.4994,1.4211,1.4276,391298,USD
2019-07-14,1.4276,1.4398,1.3912,1.4121,1338277,USD
2019-07-15,1.4121,1.4659,1.3679,1.4516,1641470,USD
2019-07-16,1.4515,1.461,1.3336,1.3491,1683971,USD
2019-07-17,1.3489,1.3797,1.2998,1.3445,1829075,USD
2019-07-18,1.3444,1.3453,1.2327,1.3302,2034863,USD
2019-07-19,1.3302,1.3302,1.2106,1.2498,6366438,USD
2019-07-20,1.2498,1.384,1.2102,1.2591,1329996,USD
2019-07-21,1.2591,1.3433,1.2307,1.2776,622703,USD
2019-07-22,1.2776,1.3467,1.2732,1.3004,1083606,USD
2019-07-23,1.3004,1.3379,1.2611,1.3067,760958,USD
2019-07-24,1.3067,1.3285,1.2773,1.321,684618,USD
2019-07-25,1.321,1.3269,1.2809,1.2951,783354,USD
2019-07-26,1.2951,1.3197,1.2611,1.2785,1101954,USD
2019-07-27,1.2785,1.2907,1.2609,1.2895,908948,USD
2019-07-28,1.2895,1.2927,1.2549,1.2835,342418,USD
2019-07-29,1.2835,1.3533,1.2771,1.3489,720161,USD
2019-07-30,1.3489,1.3636,1.2937,1.3339,1310304,USD
2019-07-31,1.3339,1.338,1.2939,1.31,802117,USD
2019-08-01,1.31,1.3155,1.2779,1.3082,1537842,USD
2019-08-02,1.3082,1.3157,1.271,1.2871,1082627,USD
2019-08-03,1.2871,1.3242,1.2825,1.3242,752558,USD
2019-08-04,1.3242,1.3246,1.2715,1.3151,1424957,USD
2019-08-05,1.3151,1.3232,1.2895,1.3228,1535390,USD
2019-08-06,1.3228,1.3444,1.2427,1.2501,1352747,USD
2019-08-07,1.2502,1.2689,1.2502,1.2681,381643,USD
2019-08-08,1.2681,1.2709,1.2457,1.2536,404767,USD
2019-08-09,1.2536,1.2553,1.2166,1.2297,1075020,USD
2019-08-10,1.2297,1.2359,1.2124,1.2298,454553,USD
2019-08-11,1.2298,1.3471,1.2267,1.3132,1439739,USD
2019-08-12,1.3132,1.3132,1.2452,1.2639,263509,USD
2019-08-13,1.2639,1.2661,1.2307,1.2337,156378,USD
2019-08-14,1.2337,1.3066,1.2255,1.2534,674815,USD
2019-08-15,1.2534,1.258,1.2157,1.2265,413972,USD
2019-08-16,1.2265,1.2274,1.1423,1.1693,794509,USD
2019-08-17,1.1693,1.265,1.1568,1.2092,1848966,USD
2019-08-18,1.2092,1.3162,1.1976,1.3135,1653340,USD
2019-08-19,1.3135,1.3261,1.2724,1.3254,628498,USD
2019-08-20,1.3254,1.3451,1.2928,1.3137,729894,USD
2019-08-21,1.3137,1.3137,1.1813,1.2048,1401689,USD
2019-08-22,1.2048,1.2213,1.1903,1.219,985811,USD
2019-08-23,1.219,1.2191,1.1853,1.2082,391830,USD
2019-08-24,1.2082,1.2082,1.1606,1.1699,832263,USD
2019-08-25,1.1699,1.1998,1.1678,1.1703,460597,USD
2019-08-26,1.1703,1.2147,1.1603,1.1888,1204005,USD
2019-08-27,1.1888,1.1969,1.1714,1.1912,259405,USD
2019-08-28,1.1912,1.1912,1.1517,1.1546,722896,USD
2019-08-29,1.1546,1.157,1.1344,1.1392,899101,USD
2019-08-30,1.1392,1.1447,1.1307,1.1394,289618,USD
2019-08-31,1.1394,1.1424,1.1161,1.1383,934759,USD
2019-09-01,1.1383,1.1517,1.1122,1.1516,503027,USD
2019-09-02,1.1516,1.1518,1.1106,1.1447,537788,USD
2019-09-03,1.1447,1.145,1.12,1.1283,340775,USD
2019-09-04,1.1283,1.1292,1.1006,1.1006,461860,USD
2019-09-05,1.1006,1.1105,1.0696,1.0731,1253472,USD
2019-09-06,1.0731,1.0731,1.0555,1.0594,766695,USD
2019-09-07,1.0594,1.0679,1.0587,1.0641,149183,USD
2019-09-08,1.0642,1.0761,1.0626,1.0665,239846,USD
2019-09-09,1.0665,1.0691,1.0491,1.0526,554044,USD
2019-09-10,1.0526,1.0622,1.0467,1.0583,2805310,USD
2019-09-11,1.0583,1.069,1.0549,1.0672,355370,USD
2019-09-12,1.0672,1.0755,1.0646,1.0705,370975,USD
2019-09-13,1.0705,1.0737,1.0499,1.0543,2352220,USD
2019-09-14,1.0543,1.0593,1.0464,1.0588,600196,USD
2019-09-15,1.0588,1.074,1.0583,1.0737,261691,USD
2019-09-16,1.0737,1.088,1.0595,1.0852,677043,USD
2019-09-17,1.0852,1.1165,1.0811,1.1104,651227,USD
2019-09-18,1.1104,1.12,1.1031,1.1051,323595,USD
2019-09-19,1.1051,1.1058,1.0906,1.0941,314738,USD
2019-09-20,1.0941,1.0949,1.0793,1.084,116602,USD
2019-09-21,1.084,1.0869,1.0794,1.0801,43627,USD
2019-09-22,1.0801,1.0835,1.0753,1.0782,86411,USD
2019-09-23,1.0782,1.079,1.0589,1.0606,663847,USD
2019-09-24,1.0606,1.0708,1.0386,1.0518,2052246,USD
2019-09-25,1.0522,1.0562,1.0413,1.043,673575,USD
2019-09-26,1.043,1.0474,1.0385,1.0458,1146540,USD
2019-09-27,1.0458,1.0517,1.0395,1.0478,3935649,USD
2019-09-28,1.0478,1.0548,1.0417,1.0539,4419456,USD
2019-09-29,1.0539,1.054,1.0407,1.0429,334960,USD
2019-09-30,1.0429,1.0452,1.0404,1.0416,988181,USD
2019-10-01,1.0416,1.0444,1.0397,1.0402,1154242,USD
2019-10-02,1.0402,1.0541,1.0393,1.0432,2927117,USD
2019-10-03,1.0429,1.0444,1.0385,1.0425,1265306,USD
2019-10-04,1.0425,1.0427,1.0384,1.041,175123,USD
